timesteps,rewards
7.360000000000000000e+02,-1.061630499999999984e+02
1.808000000000000000e+03,-1.277128550000000047e+02
3.776000000000000000e+03,-1.226569420000000008e+02
4.608000000000000000e+03,-1.171689879999999988e+02
5.552000000000000000e+03,-1.179632660000000044e+02
3.115200000000000000e+04,-1.036825149999999951e+02
3.211200000000000000e+04,-1.073658910000000049e+02
3.470400000000000000e+04,-1.114521989999999931e+02
3.880000000000000000e+04,-1.115248840000000001e+02
4.033600000000000000e+04,-1.085293939999999964e+02
4.225600000000000000e+04,-1.268265229999999946e+02
4.491200000000000000e+04,-1.160165539999999993e+02
4.580800000000000000e+04,-1.096180379999999985e+02
7.140800000000000000e+04,-7.002934500000000639e+01
9.700800000000000000e+04,-6.436014199999999619e+01
9.816000000000000000e+04,-1.031642039999999980e+02
1.237600000000000000e+05,-4.594921699999999731e+01
1.493600000000000000e+05,-3.696793900000000122e+01
1.856000000000000000e+05,-2.621211299999999866e+01
2.112000000000000000e+05,-3.337019599999999997e+01
2.368000000000000000e+05,-2.478361900000000162e+01
2.384320000000000000e+05,-9.089686700000000030e+01
2.640320000000000000e+05,-2.080385800000000174e+01
2.896320000000000000e+05,-2.613345999999999947e+01
3.152320000000000000e+05,-2.693404200000000159e+01
3.456000000000000000e+05,-2.068712999999999980e+01
3.712000000000000000e+05,-2.413326100000000096e+01
3.968000000000000000e+05,-1.704552999999999940e+01
4.224000000000000000e+05,-2.082243799999999823e+01
4.236960000000000000e+05,-9.669377299999999309e+01
4.492960000000000000e+05,-1.822667600000000121e+01
4.748960000000000000e+05,-1.539821099999999987e+01
5.056000000000000000e+05,-1.853558800000000062e+01
5.312000000000000000e+05,-1.495164499999999919e+01
5.568000000000000000e+05,-1.819123700000000099e+01
5.824000000000000000e+05,-1.652371199999999973e+01
6.080000000000000000e+05,-1.447216099999999983e+01
6.336000000000000000e+05,-2.095230199999999954e+01
6.656000000000000000e+05,-2.149964599999999848e+01
6.912000000000000000e+05,-2.132168899999999923e+01
7.046720000000000000e+05,-4.786586700000000150e+01
7.150080000000000000e+05,-2.660679400000000072e+01
7.271840000000000000e+05,1.961010100000000023e+01
7.339840000000000000e+05,-7.497736999999999341e+01
7.357280000000000000e+05,-1.282821030000000064e+02
7.403840000000000000e+05,-1.048318629999999985e+02
7.459360000000000000e+05,-9.755917999999999779e+01
7.470400000000000000e+05,-1.132223769999999945e+02
7.529600000000000000e+05,-3.995927600000000268e+01
7.785600000000000000e+05,2.440101290000000063e+02
8.002080000000000000e+05,2.784653850000000261e+02
8.242720000000000000e+05,2.637923339999999826e+02
8.460800000000000000e+05,2.692013549999999782e+02
8.540320000000000000e+05,-5.111564999999999692e+00
8.722080000000000000e+05,2.763315000000000055e+02
8.732640000000000000e+05,-1.238886710000000022e+02
8.914720000000000000e+05,2.770990189999999984e+02
9.084800000000000000e+05,2.803399269999999888e+02
9.238880000000000000e+05,2.942598980000000211e+02
9.398720000000000000e+05,2.907208160000000134e+02
9.412160000000000000e+05,-1.221566640000000064e+02
9.584320000000000000e+05,2.829021000000000186e+02
9.629440000000000000e+05,-4.945637700000000336e+01
9.702720000000000000e+05,3.284592800000000068e+01
9.857600000000000000e+05,2.830686680000000024e+02
9.980800000000000000e+05,1.095510419999999954e+02
9.992640000000000000e+05,-1.223856609999999989e+02
1.000496000000000000e+06,-1.207128500000000031e+02
1.002864000000000000e+06,-1.292637229999999988e+02
1.003824000000000000e+06,-1.155236349999999987e+02
1.004688000000000000e+06,-1.158613780000000020e+02
1.005424000000000000e+06,-1.074057459999999935e+02
1.007104000000000000e+06,-1.212433189999999996e+02
1.008000000000000000e+06,-1.229591709999999978e+02
1.033600000000000000e+06,-1.294859130000000107e+02
1.059200000000000000e+06,-1.170997739999999965e+02
1.084800000000000000e+06,-1.184802909999999940e+02
1.110400000000000000e+06,-7.204075100000000020e+01
1.145600000000000000e+06,-8.347228599999999687e+01
1.171200000000000000e+06,-7.911069799999999930e+01
1.196800000000000000e+06,-7.482936300000000074e+01
1.222400000000000000e+06,-8.147579500000000507e+01
1.248000000000000000e+06,-7.689843100000000220e+01
1.273600000000000000e+06,-7.685169500000000653e+01
1.305600000000000000e+06,-8.519886400000000037e+01
1.331200000000000000e+06,-7.558989300000000355e+01
1.356800000000000000e+06,-8.272850800000000504e+01
1.382400000000000000e+06,-7.973081200000000024e+01
1.408000000000000000e+06,-7.626403500000000690e+01
1.433600000000000000e+06,-7.851782799999999440e+01
1.465600000000000000e+06,-8.977991699999999753e+01
1.491200000000000000e+06,-7.461447499999999877e+01
1.516800000000000000e+06,-7.422193400000000452e+01
1.542400000000000000e+06,-7.395743600000000129e+01
1.568000000000000000e+06,-7.626386300000000062e+01
1.593600000000000000e+06,-7.444286300000000267e+01
1.625600000000000000e+06,-9.243483899999999664e+01
1.627680000000000000e+06,-1.263541409999999985e+02
1.630208000000000000e+06,-1.268704630000000009e+02
1.631568000000000000e+06,-1.194670569999999969e+02
1.632688000000000000e+06,-1.182526610000000034e+02
1.633856000000000000e+06,-1.195540009999999995e+02
1.636368000000000000e+06,-1.279428900000000056e+02
1.638368000000000000e+06,-1.339981080000000020e+02
1.640928000000000000e+06,-1.365089690000000076e+02
1.643472000000000000e+06,-1.389208439999999882e+02
1.646960000000000000e+06,-1.427177959999999928e+02
1.649008000000000000e+06,-1.353778039999999976e+02
1.650976000000000000e+06,-1.360388829999999984e+02
1.676576000000000000e+06,-1.111888359999999949e+02
1.679424000000000000e+06,-1.468270219999999995e+02
1.702672000000000000e+06,-2.059975430000000074e+02
1.704528000000000000e+06,-1.309639249999999890e+02
1.709296000000000000e+06,-1.474922899999999970e+02
1.734896000000000000e+06,-9.648213400000000206e+01
1.785600000000000000e+06,-4.624182799999999816e+01
1.790416000000000000e+06,-1.103335620000000006e+02
1.816016000000000000e+06,-2.445361799999999874e+01
1.841616000000000000e+06,4.988083499999999759e+01
1.867216000000000000e+06,-3.086841799999999836e+01
1.892816000000000000e+06,-6.826287600000000566e+01
1.918416000000000000e+06,-7.192348099999999533e+01
1.945600000000000000e+06,-7.565326699999999960e+01
1.971200000000000000e+06,-7.721205299999999738e+01
1.996800000000000000e+06,-7.542177999999999827e+01
1.998624000000000000e+06,-9.646114300000000696e+01
1.999904000000000000e+06,-1.025009100000000046e+02
2.002192000000000000e+06,-1.279182890000000015e+02
2.003296000000000000e+06,-1.050946310000000068e+02
2.004384000000000000e+06,-1.034381400000000042e+02
2.005680000000000000e+06,-1.158434680000000014e+02
2.007808000000000000e+06,-1.192553769999999957e+02
2.008496000000000000e+06,-1.083374139999999954e+02
2.009632000000000000e+06,-1.123630940000000038e+02
2.011168000000000000e+06,-1.305158950000000004e+02
2.014592000000000000e+06,-1.336476450000000114e+02
2.016080000000000000e+06,-1.204741300000000024e+02
2.017920000000000000e+06,-1.248459589999999935e+02
2.021680000000000000e+06,-1.382954770000000053e+02
2.022416000000000000e+06,-1.067000100000000060e+02
2.024928000000000000e+06,-1.180143450000000058e+02
2.050528000000000000e+06,-6.523768200000000661e+01
2.073360000000000000e+06,-9.087935500000000388e+01
2.078560000000000000e+06,-9.183576800000000162e+01
2.087760000000000000e+06,1.149100240000000070e+02
2.113360000000000000e+06,7.672454500000000621e+01
2.138960000000000000e+06,1.282298859999999934e+02
2.164560000000000000e+06,1.084200160000000039e+02
2.190160000000000000e+06,9.759032399999999541e+01
2.196672000000000000e+06,-6.580487100000000567e+01
2.215536000000000000e+06,-7.795382100000000491e+01
2.265600000000000000e+06,2.235999280000000056e+02
2.288400000000000000e+06,2.479863620000000139e+02
2.310832000000000000e+06,2.416848679999999945e+02
2.333392000000000000e+06,2.429164629999999931e+02
2.353328000000000000e+06,2.586296560000000113e+02
2.374608000000000000e+06,2.514317780000000084e+02
2.396912000000000000e+06,2.426214730000000088e+02
2.399504000000000000e+06,-1.428771160000000009e+02
2.401936000000000000e+06,-1.308130600000000072e+02
2.404160000000000000e+06,-1.338227620000000115e+02
2.407328000000000000e+06,-1.387320870000000070e+02
2.409680000000000000e+06,-1.221091250000000059e+02
2.411904000000000000e+06,-1.352728270000000066e+02
2.414128000000000000e+06,-1.333558160000000044e+02
2.416528000000000000e+06,-1.346951420000000041e+02
2.418912000000000000e+06,-1.366281140000000107e+02
2.420896000000000000e+06,-1.320997930000000053e+02
2.426560000000000000e+06,-1.308634209999999882e+02
2.434800000000000000e+06,-1.377655839999999898e+02
2.437104000000000000e+06,-1.331466929999999991e+02
2.439264000000000000e+06,-1.103428930000000037e+02
2.443120000000000000e+06,-1.408144580000000019e+02
2.445216000000000000e+06,-1.331704080000000090e+02
2.447328000000000000e+06,-1.321544409999999914e+02
2.449344000000000000e+06,-1.321197980000000030e+02
2.451792000000000000e+06,-1.353645530000000008e+02
2.453744000000000000e+06,-1.337922340000000077e+02
2.455616000000000000e+06,-1.336320790000000045e+02
2.457888000000000000e+06,-1.344479509999999891e+02
2.460224000000000000e+06,-1.383616330000000119e+02
2.462288000000000000e+06,-1.346900919999999928e+02
2.464624000000000000e+06,-1.241909289999999970e+02
2.466768000000000000e+06,-1.366877139999999997e+02
2.468688000000000000e+06,-1.216695950000000011e+02
2.470768000000000000e+06,-1.224828100000000006e+02
2.472880000000000000e+06,-1.351167000000000087e+02
2.474736000000000000e+06,-1.204403980000000018e+02
2.476704000000000000e+06,-1.331050260000000094e+02
2.479824000000000000e+06,-1.446246979999999951e+02
2.481808000000000000e+06,-1.353505140000000040e+02
2.483584000000000000e+06,-1.217054399999999958e+02
2.485792000000000000e+06,-1.240965829999999954e+02
2.488960000000000000e+06,-1.411345799999999997e+02
2.490512000000000000e+06,-1.191399030000000039e+02
2.492240000000000000e+06,-1.185543749999999932e+02
2.494336000000000000e+06,-1.205729500000000058e+02
2.496672000000000000e+06,-1.352043789999999888e+02
2.500112000000000000e+06,-1.347311410000000080e+02
2.501920000000000000e+06,-1.209408810000000045e+02
