timesteps,rewards
2.560000000000000000e+04,-4.800230400000000230e+01
2.659200000000000000e+04,-1.124462419999999980e+02
5.219200000000000000e+04,-4.058151500000000311e+01
7.779200000000000000e+04,-3.799000999999999806e+01
1.033920000000000000e+05,-5.052986500000000092e+01
1.040960000000000000e+05,-1.070880959999999931e+02
1.296960000000000000e+05,-5.860892400000000180e+01
1.552960000000000000e+05,-3.035472599999999943e+01
1.609600000000000000e+05,-9.822536399999999901e+01
1.865600000000000000e+05,-2.035370699999999999e+01
2.121600000000000000e+05,-1.201218500000000056e+01
2.377600000000000000e+05,-1.415764500000000048e+01
2.396160000000000000e+05,-9.092287399999999309e+01
2.652160000000000000e+05,-1.326146699999999967e+01
2.908160000000000000e+05,-1.157004599999999961e+01
3.164160000000000000e+05,-8.620535999999999532e+00
3.456000000000000000e+05,-5.204795999999999978e+00
3.712000000000000000e+05,-4.007356999999999836e+00
3.968000000000000000e+05,-6.649021000000000292e+00
4.224000000000000000e+05,-7.431034000000000361e+00
4.243200000000000000e+05,-8.667201400000000433e+01
4.499200000000000000e+05,2.165242999999999807e+00
4.755200000000000000e+05,-9.607065999999999661e+00
5.056000000000000000e+05,-9.117131000000000540e+00
5.312000000000000000e+05,-4.167241999999999891e+00
5.568000000000000000e+05,6.378719999999999946e-01
5.576000000000000000e+05,-1.107636169999999964e+02
5.832000000000000000e+05,-1.596715000000000106e+00
6.088000000000000000e+05,-9.905300000000000216e-02
6.344000000000000000e+05,-1.137993200000000016e+01
6.655360000000000000e+05,7.939491000000000298e+00
6.911360000000000000e+05,4.619590000000000085e-01
7.167360000000000000e+05,4.515610999999999819e+00
7.423360000000000000e+05,2.522702999999999918e+00
7.442080000000000000e+05,-9.493844699999999648e+01
7.698080000000000000e+05,1.448738999999999999e+00
7.954080000000000000e+05,3.525892999999999944e+00
8.256000000000000000e+05,2.240069000000000088e+00
8.274560000000000000e+05,-9.081073499999999399e+01
8.530560000000000000e+05,2.553980000000000139e-01
8.786560000000000000e+05,1.931861999999999968e+00
9.042560000000000000e+05,5.078845000000000276e+00
9.298560000000000000e+05,4.148907000000000345e+00
9.317920000000000000e+05,-8.800297600000000386e+01
9.573920000000000000e+05,-1.350724999999999953e+00
9.856000000000000000e+05,2.458499999999999908e+00
1.011200000000000000e+06,5.881099999999999994e+00
1.036800000000000000e+06,5.308304999999999829e+00
1.062400000000000000e+06,-1.020999999999999989e-03
1.088000000000000000e+06,1.654571999999999932e+00
1.090400000000000000e+06,-9.766774499999999648e+01
1.116000000000000000e+06,-3.965988999999999987e+00
1.121328000000000000e+06,-9.600427999999999429e+01
1.146928000000000000e+06,3.005004000000000008e+00
1.172528000000000000e+06,4.092037000000000369e+00
1.198128000000000000e+06,6.097949999999999759e-01
1.223728000000000000e+06,-4.085213000000000427e+00
1.225328000000000000e+06,-9.399961600000000317e+01
1.250928000000000000e+06,-4.425278999999999741e+00
1.276528000000000000e+06,7.216213999999999906e+00
1.305600000000000000e+06,1.901605999999999908e+00
1.307296000000000000e+06,-1.171980630000000048e+02
1.332896000000000000e+06,4.971387000000000000e+00
1.358496000000000000e+06,2.985021999999999842e+00
1.384096000000000000e+06,6.281248999999999860e+00
1.409696000000000000e+06,4.159371000000000151e+00
1.435296000000000000e+06,2.683959999999999901e+00
1.465600000000000000e+06,1.341362699999999997e+01
1.491200000000000000e+06,5.948483000000000409e+00
1.516800000000000000e+06,5.060469999999999580e+00
1.542400000000000000e+06,-2.359040000000000026e-01
1.568000000000000000e+06,1.946398999999999990e+00
1.593600000000000000e+06,1.193795599999999979e+01
1.625600000000000000e+06,8.620767999999999986e+00
1.651200000000000000e+06,5.456269999999999953e+00
1.676800000000000000e+06,1.148809199999999997e+01
1.702400000000000000e+06,3.044941999999999815e+00
1.728000000000000000e+06,9.869301000000000101e+00
1.753600000000000000e+06,1.119174499999999917e+01
1.785600000000000000e+06,9.340403999999999485e+00
1.786672000000000000e+06,-1.127857860000000016e+02
1.812272000000000000e+06,5.026957999999999593e+00
1.837872000000000000e+06,1.000150000000000095e+00
1.863472000000000000e+06,1.709563999999999950e+01
1.889072000000000000e+06,1.573662900000000064e+01
1.914672000000000000e+06,1.392592699999999972e+01
1.945600000000000000e+06,6.935654999999999681e+00
1.971200000000000000e+06,6.188925000000000232e+00
1.996800000000000000e+06,1.556975100000000012e+01
1.998560000000000000e+06,-9.033612599999999304e+01
2.024160000000000000e+06,-5.549324999999999619e+00
2.049760000000000000e+06,1.284486700000000070e+01
2.050752000000000000e+06,-1.188036919999999981e+02
2.076352000000000000e+06,8.514789999999999637e+00
2.077856000000000000e+06,-1.211190940000000040e+02
2.105600000000000000e+06,-2.638018999999999892e+00
2.131200000000000000e+06,-2.458143000000000189e+00
2.156800000000000000e+06,1.169554100000000041e+01
2.182400000000000000e+06,1.127178299999999922e+01
2.208000000000000000e+06,7.351018999999999970e+00
2.233600000000000000e+06,1.138807500000000061e+01
2.265600000000000000e+06,1.416579199999999972e+01
2.291200000000000000e+06,1.382530999999999999e+01
2.316800000000000000e+06,1.705627000000000137e+01
2.342400000000000000e+06,1.132268799999999942e+01
2.368000000000000000e+06,1.316624799999999951e+01
2.393600000000000000e+06,1.001446900000000007e+01
2.425600000000000000e+06,1.374243799999999993e+01
2.451200000000000000e+06,3.411310999999999982e+00
2.476800000000000000e+06,-9.313479999999999537e-01
2.502400000000000000e+06,7.714741000000000071e+00
2.528000000000000000e+06,8.847744999999999749e+00
2.553600000000000000e+06,1.480189000000000021e+01
2.585600000000000000e+06,1.635876000000000019e+01
2.611200000000000000e+06,1.165554000000000023e+01
2.636800000000000000e+06,1.251497700000000002e+01
2.662400000000000000e+06,1.311546799999999990e+01
2.688000000000000000e+06,1.090233699999999928e+01
2.713600000000000000e+06,1.026550199999999968e+01
2.745600000000000000e+06,2.233244300000000138e+01
2.771200000000000000e+06,1.777556900000000084e+01
2.796800000000000000e+06,2.045615899999999954e+01
2.822400000000000000e+06,8.536894999999999456e+00
2.848000000000000000e+06,7.476306000000000118e+00
2.873600000000000000e+06,1.474944600000000072e+01
2.874528000000000000e+06,-1.176962560000000053e+02
2.905600000000000000e+06,5.600176000000000265e+00
2.931200000000000000e+06,7.086701999999999835e+00
2.956800000000000000e+06,1.014322300000000077e+01
2.982400000000000000e+06,1.385773400000000066e+01
3.008000000000000000e+06,1.662388100000000080e+01
3.033600000000000000e+06,2.030977899999999892e+01
3.065600000000000000e+06,1.878806799999999910e+01
3.091200000000000000e+06,1.548915599999999948e+01
3.116800000000000000e+06,1.747093200000000124e+01
3.142400000000000000e+06,1.595521300000000053e+01
3.168000000000000000e+06,2.043890899999999888e+01
3.193600000000000000e+06,4.710417999999999772e+00
3.225600000000000000e+06,1.238952600000000004e+01
3.251200000000000000e+06,9.645011999999999475e+00
3.276800000000000000e+06,1.254474800000000023e+01
3.302400000000000000e+06,1.005314300000000038e+01
3.328000000000000000e+06,5.371696000000000026e+00
