Wall time,Step,Value
1733797155.0294127,6400,-1546.3916015625
1733797155.8289812,12800,-1449.723388671875
1733797156.6190927,19200,-1369.12451171875
1733797157.8498516,25600,-1282.1387939453125
1733797158.9789336,32000,-1239.508056640625
1733797159.9368427,38400,-1226.69189453125
1733797160.8945446,44800,-1213.908447265625
1733797161.7295268,51200,-1183.8297119140625
1733797162.5821362,57600,-1160.1876220703125
1733797163.803666,64000,-1146.6396484375
1733797164.7729735,70400,-1146.594482421875
1733797165.6811404,76800,-1153.6756591796875
1733797166.6006255,83200,-1129.509521484375
1733797167.4078321,89600,-1088.5794677734375
1733797168.1186934,96000,-1034.6944580078125
1733797169.0027676,102400,-1090.837646484375
1733797170.0301695,108800,-1094.14599609375
1733797171.1412754,115200,-1069.1156005859375
1733797171.9608977,121600,-1008.8220825195312
1733797172.7058742,128000,-1004.8873901367188
1733797173.6484442,134400,-1007.6427001953125
1733797174.6163933,140800,-968.1519775390625
1733797175.5721495,147200,-935.2334594726562
1733797176.568202,153600,-939.9183959960938
1733797177.5446677,160000,-932.6715087890625
1733797178.5525498,166400,-946.33837890625
1733797179.5711424,172800,-925.0457763671875
1733797180.6309063,179200,-850.7505493164062
1733797181.334604,185600,-812.241455078125
1733797182.3690903,192000,-726.1651000976562
1733797183.2700155,198400,-753.156494140625
1733797184.066388,204800,-671.384765625
1733797185.0664325,211200,-564.3533325195312
1733797186.2160907,217600,-505.3577880859375
1733797187.5774808,224000,-390.734375
1733797188.3688183,230400,-362.6322326660156
1733797189.5591085,236800,-312.379638671875
1733797190.8849242,243200,-309.00274658203125
1733797192.1722972,249600,-305.6062927246094
1733797193.443557,256000,-257.43798828125
1733797194.5952346,262400,-271.58203125
1733797195.9126282,268800,-265.1867370605469
1733797196.9598782,275200,-258.1690673828125
1733797197.939714,281600,-240.2458038330078
1733797199.1751797,288000,-241.16558837890625
1733797200.469546,294400,-236.91891479492188
1733797201.6159341,300800,-250.7724151611328
1733797202.9281986,307200,-256.8247985839844
1733797204.1967967,313600,-257.5191650390625
1733797205.3260233,320000,-229.851318359375
1733797206.5013726,326400,-217.57408142089844
1733797207.66936,332800,-232.6633758544922
1733797208.6762383,339200,-230.19140625
1733797210.0777776,345600,-234.7211456298828
1733797210.8912368,352000,-203.1267547607422
1733797212.0317047,358400,-212.54762268066406
1733797212.869633,364800,-245.63494873046875
1733797214.1985335,371200,-263.63507080078125
1733797215.6184223,377600,-268.20159912109375
1733797216.7808585,384000,-228.1838836669922
1733797218.207129,390400,-233.83729553222656
1733797219.3218696,396800,-270.1470031738281
1733797220.260791,403200,-265.5908508300781
1733797221.2259102,409600,-249.19114685058594
1733797222.047939,416000,-219.6853790283203
1733797223.4122128,422400,-216.45762634277344
1733797224.8155923,428800,-204.81942749023438
1733797226.0971222,435200,-208.9322052001953
1733797227.5529003,441600,-224.3013458251953
1733797228.8838906,448000,-237.4517822265625
1733797229.8599124,454400,-217.94895935058594
1733797230.9295008,460800,-213.02133178710938
1733797232.185523,467200,-217.18099975585938
1733797233.3458881,473600,-247.1262664794922
1733797234.1883738,480000,-239.83621215820312
1733797235.4631383,486400,-238.74180603027344
1733797236.4822295,492800,-208.6852569580078
1733797237.8370008,499200,-222.04815673828125
1733797238.8922653,505600,-207.66946411132812
1733797240.0042481,512000,-235.85946655273438
1733797241.3343608,518400,-255.81971740722656
1733797242.260333,524800,-267.7232666015625
1733797243.197022,531200,-257.2024841308594
1733797244.1683357,537600,-227.05308532714844
1733797245.158754,544000,-216.19290161132812
1733797246.2466764,550400,-224.68524169921875
1733797247.5016985,556800,-208.73614501953125
1733797248.356448,563200,-205.39120483398438
1733797249.642492,569600,-198.70875549316406
1733797250.6231184,576000,-212.63836669921875
1733797251.9275024,582400,-234.95928955078125
1733797252.6294568,588800,-233.42047119140625
1733797253.573303,595200,-234.19732666015625
1733797254.496228,601600,-228.3899688720703
1733797255.6894274,608000,-242.83985900878906
1733797256.424678,614400,-248.0910186767578
1733797257.4082322,620800,-249.41183471679688
1733797258.8033707,627200,-221.34361267089844
1733797260.125574,633600,-195.05091857910156
1733797260.9738307,640000,-206.85205078125
1733797261.7879634,646400,-228.4431915283203
1733797262.6298847,652800,-241.2410430908203
1733797263.6234062,659200,-242.64047241210938
1733797264.8239384,665600,-242.07566833496094
1733797265.9075565,672000,-288.7662048339844
1733797266.9612112,678400,-288.6450500488281
1733797268.2235653,684800,-327.9394836425781
1733797269.5528338,691200,-311.9110412597656
1733797270.5988858,697600,-323.15863037109375
1733797271.8881464,704000,-291.16082763671875
1733797272.9028099,710400,-305.1922912597656
1733797274.21396,716800,-310.98638916015625
1733797275.2594924,723200,-301.7967224121094
1733797276.3798757,729600,-300.69976806640625
1733797277.711386,736000,-240.29608154296875
1733797278.5606427,742400,-255.01898193359375
1733797279.3301463,748800,-242.7976531982422
1733797280.0993214,755200,-272.389892578125
1733797281.0960891,761600,-259.011962890625
1733797282.0871975,768000,-244.61883544921875
1733797282.9454517,774400,-235.94744873046875
1733797283.9716823,780800,-228.86253356933594
1733797285.2586763,787200,-222.15863037109375
1733797286.4364643,793600,-203.58059692382812
1733797287.5358937,800000,-196.1669921875
1733797288.5752978,806400,-202.0946044921875
