timesteps,rewards
1.600000000000000000e+03,-1.315429495000000088e+03
3.200000000000000000e+03,-1.498452301999999918e+03
4.800000000000000000e+03,-1.511892925999999989e+03
6.400000000000000000e+03,-1.588897069999999985e+03
8.000000000000000000e+03,-1.547313065000000051e+03
9.600000000000000000e+03,-1.277841196000000082e+03
1.120000000000000000e+04,-9.899395329999999831e+02
1.280000000000000000e+04,-1.505597921000000042e+03
1.440000000000000000e+04,-1.059503932999999961e+03
1.600000000000000000e+04,-1.245853620000000092e+03
1.760000000000000000e+04,-1.176794349000000011e+03
1.920000000000000000e+04,-1.126313783999999941e+03
2.080000000000000000e+04,-1.220128795999999966e+03
2.240000000000000000e+04,-1.201500602000000072e+03
2.400000000000000000e+04,-1.427714379999999892e+03
2.560000000000000000e+04,-1.515445909999999913e+03
2.720000000000000000e+04,-1.279498104999999896e+03
2.880000000000000000e+04,-1.095628512000000001e+03
3.040000000000000000e+04,-1.068536475999999993e+03
3.200000000000000000e+04,-1.079793580999999904e+03
3.360000000000000000e+04,-1.043559107000000040e+03
3.520000000000000000e+04,-9.188183010000000195e+02
3.680000000000000000e+04,-9.688553540000000339e+02
3.840000000000000000e+04,-1.162472823999999946e+03
4.000000000000000000e+04,-1.142078950000000077e+03
4.160000000000000000e+04,-1.507474011000000019e+03
4.320000000000000000e+04,-1.356394972999999936e+03
4.480000000000000000e+04,-1.428142898999999943e+03
4.640000000000000000e+04,-1.428347060999999940e+03
4.800000000000000000e+04,-1.508509956000000102e+03
4.960000000000000000e+04,-1.267557066000000077e+03
5.120000000000000000e+04,-1.496271334000000024e+03
5.280000000000000000e+04,-1.194093540999999959e+03
5.440000000000000000e+04,-1.214270993000000090e+03
5.600000000000000000e+04,-1.486470902000000024e+03
5.760000000000000000e+04,-1.494553030999999919e+03
5.920000000000000000e+04,-1.214522279999999910e+03
6.080000000000000000e+04,-9.572462809999999536e+02
6.240000000000000000e+04,-1.193689059999999927e+03
6.400000000000000000e+04,-1.235675727999999935e+03
6.560000000000000000e+04,-1.092403121999999939e+03
6.720000000000000000e+04,-8.725722789999999804e+02
6.880000000000000000e+04,-1.187610699000000068e+03
7.040000000000000000e+04,-1.493279898000000003e+03
7.200000000000000000e+04,-9.667078070000000025e+02
7.360000000000000000e+04,-1.530774854999999889e+03
7.520000000000000000e+04,-1.510154406000000108e+03
7.680000000000000000e+04,-1.492678053999999975e+03
7.840000000000000000e+04,-9.452002609999999549e+02
8.000000000000000000e+04,-1.180350560999999971e+03
8.160000000000000000e+04,-7.755947999999999638e+02
8.320000000000000000e+04,-1.496770989000000100e+03
8.480000000000000000e+04,-1.231985091999999895e+03
8.640000000000000000e+04,-6.752711739999999736e+02
8.800000000000000000e+04,-7.701569680000000062e+02
8.960000000000000000e+04,-6.294157950000000028e+02
9.120000000000000000e+04,-9.106125319999999874e+02
9.280000000000000000e+04,-9.501935650000000351e+02
9.440000000000000000e+04,-1.220694901000000073e+03
9.600000000000000000e+04,-1.506334427999999889e+03
9.760000000000000000e+04,-1.499795810000000074e+03
9.920000000000000000e+04,-1.505111940999999888e+03
1.008000000000000000e+05,-1.369121018999999933e+03
1.024000000000000000e+05,-1.369625440999999910e+03
1.040000000000000000e+05,-1.518845784000000094e+03
1.056000000000000000e+05,-1.016719041999999945e+03
1.072000000000000000e+05,-1.155846493999999893e+03
1.088000000000000000e+05,-7.996934870000000046e+02
1.104000000000000000e+05,-8.230025020000000495e+02
1.120000000000000000e+05,-1.456662692999999990e+03
1.136000000000000000e+05,-1.543515337000000045e+03
1.152000000000000000e+05,-6.793110639999999876e+02
1.168000000000000000e+05,-9.812248720000000048e+02
1.184000000000000000e+05,-6.641797699999999622e+02
1.200000000000000000e+05,-8.697010679999999638e+02
1.216000000000000000e+05,-1.097314566999999897e+03
1.232000000000000000e+05,-1.450936601999999993e+03
1.248000000000000000e+05,-7.989628800000000410e+02
1.264000000000000000e+05,-1.089946795000000066e+03
1.280000000000000000e+05,-1.157318690999999944e+03
1.296000000000000000e+05,-1.454026174999999967e+03
1.312000000000000000e+05,-1.047805775999999923e+03
1.328000000000000000e+05,-1.304424569999999903e+03
1.344000000000000000e+05,-1.199946273999999903e+03
1.360000000000000000e+05,-8.189880719999999883e+02
