Wall time,Step,Value
1733797155.0294297,6400,7974.0
1733797155.8290112,12800,7989.0
1733797156.6191041,19200,8025.0
1733797157.8498793,25600,7066.0
1733797158.978946,32000,6733.0
1733797159.9368558,38400,6725.0
1733797160.8945572,44800,6718.0
1733797161.7295432,51200,6824.0
1733797162.5821643,57600,6893.0
1733797163.8036788,64000,6682.0
1733797164.7729862,70400,6675.0
1733797165.6811686,76800,6704.0
1733797166.6006382,83200,6723.0
1733797167.407848,89600,6797.0
1733797168.118706,96000,6910.0
1733797169.0027807,102400,6930.0
1733797170.0301988,108800,6884.0
1733797171.141304,115200,6810.0
1733797171.96091,121600,6856.0
1733797172.7058866,128000,6926.0
1733797173.6484563,134400,6920.0
1733797174.6164055,140800,6905.0
1733797175.5721776,147200,6896.0
1733797176.568214,153600,6875.0
1733797177.5446799,160000,6861.0
1733797178.552578,166400,6840.0
1733797179.5711706,172800,6818.0
1733797180.6309187,179200,6786.0
1733797181.3346207,185600,6846.0
1733797182.369118,192000,6822.0
1733797183.2700276,198400,6831.0
1733797184.0664005,204800,6863.0
1733797185.066461,211200,6848.0
1733797186.216119,217600,6802.0
1733797187.577493,224000,6716.0
1733797188.3688483,230400,6748.0
1733797189.5591211,236800,6702.0
1733797190.8849535,243200,6634.0
1733797192.1723275,249600,6577.0
1733797193.443586,256000,6527.0
1733797194.5952656,262400,6500.0
1733797195.9126408,268800,6448.0
1733797196.959907,275200,6439.0
1733797197.9397266,281600,6442.0
1733797199.175208,288000,6407.0
1733797200.469577,294400,6366.0
1733797201.6159465,300800,6347.0
1733797202.9282277,307200,6307.0
1733797204.1968253,313600,6275.0
1733797205.3260515,320000,6262.0
1733797206.5014024,326400,6243.0
1733797207.6693873,332800,6227.0
1733797208.6762676,339200,6229.0
1733797210.0778067,345600,6187.0
1733797210.8912654,352000,6212.0
1733797212.0317168,358400,6200.0
1733797212.8696663,364800,6220.0
1733797214.1985621,371200,6189.0
1733797215.6184504,377600,6150.0
1733797216.7808857,384000,6138.0
1733797218.2071579,390400,6101.0
1733797219.321882,396800,6095.0
1733797220.2608032,403200,6105.0
1733797221.2259226,409600,6113.0
1733797222.0479689,416000,6133.0
1733797223.4122403,422400,6105.0
1733797224.8156264,428800,6074.0
1733797226.0971506,435200,6055.0
1733797227.5529287,441600,6022.0
1733797228.8839185,448000,6000.0
1733797229.8599248,454400,6007.0
1733797230.9295352,460800,6007.0
1733797232.185552,467200,5992.0
1733797233.3459165,473600,5985.0
1733797234.1883867,480000,6002.0
1733797235.4631672,486400,5987.0
1733797236.482242,492800,5991.0
1733797237.8370137,499200,5970.0
1733797238.892295,505600,5971.0
1733797240.0042603,512000,5968.0
1733797241.3343897,518400,5951.0
1733797242.2603493,524800,5961.0
1733797243.197034,531200,5970.0
1733797244.168348,537600,5977.0
1733797245.158768,544000,5982.0
1733797246.2466896,550400,5981.0
1733797247.5017278,556800,5969.0
1733797248.3564596,563200,5983.0
1733797249.642524,569600,5969.0
1733797250.6231499,576000,5975.0
1733797251.9275322,582400,5961.0
1733797252.6294696,588800,5983.0
1733797253.573318,595200,5991.0
1733797254.496256,601600,5999.0
1733797255.6894555,608000,5992.0
1733797256.4246912,614400,6011.0
1733797257.4082608,620800,6016.0
1733797258.8033993,627200,5997.0
1733797260.1256025,633600,5983.0
1733797260.9738424,640000,5995.0
1733797261.7879753,646400,6009.0
1733797262.629913,652800,6021.0
1733797263.6234179,659200,6025.0
1733797264.8239672,665600,6018.0
1733797265.9075856,672000,6017.0
1733797266.9612396,678400,6017.0
1733797268.2235942,684800,6007.0
1733797269.5528622,691200,5993.0
1733797270.5989144,697600,5994.0
1733797271.8881745,704000,5983.0
1733797272.9028227,710400,5986.0
1733797274.2139883,716800,5973.0
1733797275.259522,723200,5975.0
1733797276.3799067,729600,5972.0
1733797277.711398,736000,5960.0
1733797278.5606554,742400,5971.0
1733797279.3301582,748800,5985.0
1733797280.0993335,755200,5999.0
1733797281.0961173,761600,6003.0
1733797282.0872262,768000,6006.0
1733797282.9454815,774400,6016.0
1733797283.9716952,780800,6017.0
1733797285.2587054,787200,6007.0
1733797286.4364922,793600,6002.0
1733797287.5359223,800000,6001.0
1733797288.575311,806400,6002.0
1733797289.2784195,812800,6018.0
1733797290.5938828,819200,6007.0
1733797291.7284105,825600,6004.0
1733797292.675397,832000,6009.0
1733797293.38808,838400,6024.0
1733797294.7186172,844800,6013.0
1733797295.6551054,851200,6018.0
1733797296.6416426,857600,6021.0
1733797297.8098419,864000,6017.0
1733797298.6509285,870400,6026.0
1733797299.5766618,876800,6032.0
1733797300.5336425,883200,6036.0
1733797301.756967,889600,6029.0
1733797302.7695842,896000,6031.0
1733797303.5447872,902400,6043.0
1733797304.2977507,908800,6055.0
1733797305.2682033,915200,6059.0
1733797306.7014787,921600,6044.0
1733797307.9446206,928000,6037.0
1733797308.8028638,934400,6044.0
1733797310.1573462,940800,6033.0
1733797311.3782723,947200,6027.0
1733797312.3308735,953600,6031.0
1733797313.186669,960000,6039.0
1733797314.5170703,966400,6029.0
1733797315.3272696,972800,6038.0
1733797316.300417,979200,6041.0
1733797317.2882044,985600,6044.0
1733797318.493214,992000,6038.0
1733797319.3349783,998400,6046.0
