timesteps,rewards
1.600000000000000000e+03,-1.536838011000000051e+03
3.200000000000000000e+03,-1.358998331000000007e+03
4.800000000000000000e+03,-1.440163450999999895e+03
6.400000000000000000e+03,-1.424795425999999907e+03
8.000000000000000000e+03,-1.355220964999999978e+03
9.600000000000000000e+03,-1.437124882999999954e+03
1.120000000000000000e+04,-1.505182107000000087e+03
1.280000000000000000e+04,-1.423504617999999937e+03
1.440000000000000000e+04,-1.463606363999999985e+03
1.600000000000000000e+04,-1.352127627000000075e+03
1.760000000000000000e+04,-1.121955731000000014e+03
1.920000000000000000e+04,-1.337753783000000112e+03
2.080000000000000000e+04,-1.375220444000000043e+03
2.240000000000000000e+04,-1.212845863000000008e+03
2.400000000000000000e+04,-1.471664318999999978e+03
2.560000000000000000e+04,-1.377818263999999999e+03
2.720000000000000000e+04,-1.388504895999999917e+03
2.880000000000000000e+04,-1.494742598999999927e+03
3.040000000000000000e+04,-1.499168038000000024e+03
3.200000000000000000e+04,-1.493387529000000086e+03
3.360000000000000000e+04,-1.390611953999999969e+03
3.520000000000000000e+04,-1.454263625000000047e+03
3.680000000000000000e+04,-1.423964508000000023e+03
3.840000000000000000e+04,-1.418996077000000014e+03
4.000000000000000000e+04,-1.418627341999999999e+03
4.160000000000000000e+04,-1.366895606999999927e+03
4.320000000000000000e+04,-1.162310752999999977e+03
4.480000000000000000e+04,-1.343031488999999965e+03
4.640000000000000000e+04,-1.285773754000000054e+03
4.800000000000000000e+04,-1.292493905000000041e+03
4.960000000000000000e+04,-1.513929714000000104e+03
5.120000000000000000e+04,-1.328920000999999957e+03
5.280000000000000000e+04,-1.138200448000000051e+03
5.440000000000000000e+04,-1.344520985999999994e+03
5.600000000000000000e+04,-1.154136394000000109e+03
5.760000000000000000e+04,-1.188646463999999924e+03
5.920000000000000000e+04,-1.143065957999999910e+03
6.080000000000000000e+04,-1.431604624999999942e+03
6.240000000000000000e+04,-6.865170970000000352e+02
6.400000000000000000e+04,-9.742896789999999783e+02
6.560000000000000000e+04,-1.405826988000000028e+03
6.720000000000000000e+04,-1.173078690999999935e+03
6.880000000000000000e+04,-1.531015443000000005e+03
7.040000000000000000e+04,-9.613191420000000562e+02
7.200000000000000000e+04,-1.220527131999999938e+03
7.360000000000000000e+04,-8.231242130000000543e+02
7.520000000000000000e+04,-1.053814301999999998e+03
7.680000000000000000e+04,-1.461521690999999919e+03
7.840000000000000000e+04,-1.468739780999999994e+03
8.000000000000000000e+04,-1.492488043999999945e+03
8.160000000000000000e+04,-9.623814909999999827e+02
8.320000000000000000e+04,-1.525847516000000041e+03
8.480000000000000000e+04,-5.428002350000000433e+02
8.640000000000000000e+04,-1.105511979000000110e+03
8.800000000000000000e+04,-7.977693769999999631e+02
8.960000000000000000e+04,-9.858230529999999590e+02
9.120000000000000000e+04,-9.399975600000000213e+02
9.280000000000000000e+04,-8.334690550000000258e+02
9.440000000000000000e+04,-1.494268325000000004e+03
9.600000000000000000e+04,-1.264973375999999917e+03
9.760000000000000000e+04,-1.500790670000000091e+03
9.920000000000000000e+04,-8.008569539999999733e+02
1.008000000000000000e+05,-8.151122579999999971e+02
1.024000000000000000e+05,-7.145671379999999999e+02
1.040000000000000000e+05,-1.073192058999999972e+03
1.056000000000000000e+05,-8.012889780000000428e+02
1.072000000000000000e+05,-8.253168920000000526e+02
1.088000000000000000e+05,-1.206186230000000023e+03
1.104000000000000000e+05,-1.038079167999999981e+03
1.120000000000000000e+05,-1.150709454000000051e+03
1.136000000000000000e+05,-9.199509739999999738e+02
1.152000000000000000e+05,-1.257966636000000108e+03
1.168000000000000000e+05,-1.106978425000000016e+03
1.184000000000000000e+05,-1.031305444000000080e+03
1.200000000000000000e+05,-5.384397979999999961e+02
1.216000000000000000e+05,-6.838681199999999762e+02
1.232000000000000000e+05,-6.219416230000000496e+02
1.248000000000000000e+05,-1.225706149000000096e+03
1.264000000000000000e+05,-9.341230369999999539e+02
1.280000000000000000e+05,-1.151021113000000014e+03
1.296000000000000000e+05,-4.100620660000000157e+02
1.312000000000000000e+05,-1.520016483999999991e+03
1.328000000000000000e+05,-1.281018391000000065e+03
1.344000000000000000e+05,-1.515277014999999892e+03
1.360000000000000000e+05,-6.566763339999999971e+02
1.376000000000000000e+05,-8.208119639999999890e+02
1.392000000000000000e+05,-1.149867054999999937e+03
1.408000000000000000e+05,-1.341803589999999986e+03
1.424000000000000000e+05,-9.972124659999999494e+02
1.440000000000000000e+05,-8.250643119999999726e+02
1.456000000000000000e+05,-9.303585510000000340e+02
1.472000000000000000e+05,-8.047553789999999481e+02
1.488000000000000000e+05,-8.109829359999999951e+02
1.504000000000000000e+05,-1.122833626999999979e+03
1.520000000000000000e+05,-1.091529082000000017e+03
1.536000000000000000e+05,-8.385318989999999530e+02
1.552000000000000000e+05,-1.129268252000000075e+03
1.568000000000000000e+05,-9.276740969999999606e+02
1.584000000000000000e+05,-6.020324040000000423e+02
1.600000000000000000e+05,-7.946707370000000310e+02
1.616000000000000000e+05,-7.818723079999999754e+02
1.632000000000000000e+05,-1.498421642999999904e+03
1.648000000000000000e+05,-6.544629999999999725e+00
1.664000000000000000e+05,-8.308010639999999967e+02
1.680000000000000000e+05,-9.471388849999999593e+02
1.696000000000000000e+05,-6.701803929999999809e+02
1.712000000000000000e+05,-6.711516060000000152e+02
1.728000000000000000e+05,-1.042024760000000015e+03
1.744000000000000000e+05,-1.423156859999999995e+02
1.760000000000000000e+05,-9.573596039999999903e+02
1.776000000000000000e+05,-9.094257330000000366e+02
1.792000000000000000e+05,-7.348296639999999798e+02
1.808000000000000000e+05,-1.495806348000000071e+03
1.824000000000000000e+05,-1.220578580000000102e+03
1.840000000000000000e+05,-6.758267720000000054e+02
1.856000000000000000e+05,-1.361429133999999976e+03
1.872000000000000000e+05,-5.449260610000000042e+02
1.888000000000000000e+05,-1.204277019999999993e+03
1.904000000000000000e+05,-8.150212219999999661e+02
1.920000000000000000e+05,-8.398935830000000351e+02
1.936000000000000000e+05,-7.257727909999999838e+02
1.952000000000000000e+05,-5.433754810000000361e+02
1.968000000000000000e+05,-1.296944017000000031e+03
1.984000000000000000e+05,-7.178984999999999950e+00
2.000000000000000000e+05,-1.177562582999999904e+03
2.016000000000000000e+05,-5.379340710000000172e+02
2.032000000000000000e+05,-2.818992680000000064e+02
2.048000000000000000e+05,-1.509623252000000093e+03
2.064000000000000000e+05,-5.416091169999999693e+02
