Wall time,Step,Value
1733803872.455504,4876,-92.51757049560547
1733803873.249126,6717,-97.93881225585938
1733803878.6941707,10255,-96.4180679321289
1733803883.1646447,10613,-100.47325134277344
1733803892.4298043,11126,-103.26072692871094
1733803898.8641524,11488,-103.65213012695312
1733803906.5948808,11921,-103.71348571777344
1733803913.2429738,12320,-103.87858581542969
1733803919.2469883,12658,-105.27313232421875
1733803928.7602372,13179,-106.01571655273438
1733803941.7188787,13945,-107.7416000366211
1733803947.3030643,14242,-107.94329833984375
1733803974.4763987,15746,-109.52239227294922
1733804033.1285954,19188,-109.50711822509766
1733804041.2704744,19601,-109.39276885986328
1733804141.5143578,24913,-108.07948303222656
1733804271.011714,31600,-106.04734802246094
1733804330.0305512,34917,-104.85879516601562
1733804335.2326882,35197,-104.7013931274414
1733804368.6411793,37013,-104.1899185180664
1733804460.5891469,41600,-103.270263671875
1733804467.522267,41970,-103.10417175292969
1733804585.8984113,48370,-101.4334487915039
1733804650.6962354,51802,-100.49100494384766
1733804687.210683,53812,-100.13383483886719
1733804769.0462942,58687,-99.31466674804688
1733804855.366894,63313,-98.20787811279297
1733804893.9730022,65593,-98.10789489746094
1733804980.7844512,70187,-96.32523345947266
1733805038.2505422,73539,-94.47754669189453
1733805151.5916674,79508,-92.96783447265625
1733805292.329434,86400,-89.90731811523438
1733805429.5602672,93200,-86.96978759765625
1733805526.3728652,98127,-83.90924835205078
1733805667.4108207,104800,-80.39788055419922
1733805814.6221254,111600,-76.25755310058594
1733805939.5437365,118000,-72.47281646728516
1733806047.2625794,123283,-69.6523208618164
1733806179.621791,129683,-65.82799530029297
1733806318.5438247,136400,-62.2056999206543
1733806459.6914735,143200,-59.11284255981445
1733806558.5850234,148111,-57.60376739501953
1733806699.346156,154800,-54.78649139404297
1733806839.7488205,161600,-51.255393981933594
1733806968.334172,168000,-47.96583557128906
1733806983.4887254,168732,-48.643310546875
1733807098.428648,173949,-47.271663665771484
1733807263.7028959,181600,-45.50742721557617
1733807394.6935058,188000,-43.13664245605469
1733807541.8771071,194800,-40.1420783996582
1733807657.687136,200230,-38.76346206665039
1733807786.3253593,206630,-36.53742980957031
1733807927.732595,213200,-33.52344512939453
1733808057.2451165,219600,-31.383865356445312
1733808203.1927803,226400,-29.18235969543457
1733808349.968319,233200,-27.44203758239746
1733808451.0961626,238195,-27.97422218322754
1733808494.777877,240381,-29.643037796020508
1733808568.9074025,244003,-30.721460342407227
1733808685.597361,249654,-31.431615829467773
1733808831.1404023,256400,-31.105058670043945
1733808957.1771295,262139,-32.26044845581055
1733809040.7783442,266259,-32.316707611083984
1733809190.8516598,273200,-33.09675598144531
1733809266.8321698,276925,-35.06761932373047
1733809370.400784,281600,-36.53573226928711
1733809503.688328,288000,-35.593055725097656
1733809653.2222955,294800,-35.314300537109375
1733809799.0785508,301600,-35.213836669921875
1733809899.9721541,306544,-36.13990783691406
1733810044.1583025,313200,-32.58734893798828
1733810183.006151,319600,-30.437353134155273
1733810331.9203281,326400,-30.092586517333984
1733810402.3118665,329842,-31.87224769592285
1733810517.751147,335047,-32.051265716552734
1733810521.6388927,335248,-35.10837173461914
1733810531.1351614,335692,-38.47240447998047
1733810695.1983302,343200,-38.294349670410156
1733810769.219061,346766,-39.78461456298828
1733810910.078175,353200,-40.8338623046875
1733811019.967565,358486,-39.75944137573242
1733811193.4163787,366400,-38.88246536254883
1733811342.8870883,373200,-36.31737518310547
1733811452.675008,378160,-34.50761032104492
1733811550.197716,382437,-32.8948974609375
1733811603.2062507,384937,-34.77181625366211
1733811663.2777722,387691,-35.334651947021484
1733811754.5436356,391600,-35.12822723388672
1733811839.062426,395460,-34.65534591674805
1733812013.4315717,403200,-27.067611694335938
1733812057.7543614,405203,-26.36783790588379
1733812133.2671127,408884,-25.203617095947266
1733812257.7146063,414314,-20.181114196777344
1733812356.304245,418689,-15.680140495300293
1733812491.0639107,424746,-9.155155181884766
1733812564.209137,428034,-7.200485706329346
1733812680.1581602,433392,-0.7522642016410828
1733812810.5485218,439511,8.69449234008789
1733812950.796673,445597,19.276655197143555
1733813117.7634726,453090,31.22593879699707
1733813220.1269453,457897,42.72551345825195
1733813291.6233385,461026,48.37085723876953
1733813385.536477,465384,56.49735641479492
1733813501.4308684,470483,66.99971008300781
1733813594.2416463,474766,74.75605010986328
1733813666.6471713,478119,79.22352600097656
1733813756.3939123,482234,84.62680053710938
1733813873.6544435,487666,96.53469848632812
1733814012.0471659,493821,109.17655944824219
1733814110.1525874,498225,118.79810333251953
