timesteps,rewards
1.600000000000000000e+03,-8.185567000000000348e+01
3.200000000000000000e+03,-9.095016300000000342e+01
4.800000000000000000e+03,-8.060006500000000074e+01
4.876000000000000000e+03,-1.166643909999999948e+02
4.962000000000000000e+03,-1.028451730000000026e+02
5.047000000000000000e+03,-1.016145159999999947e+02
6.647000000000000000e+03,-8.985736099999999738e+01
6.717000000000000000e+03,-1.191231530000000021e+02
8.317000000000000000e+03,-8.363506900000000144e+01
9.917000000000000000e+03,-8.178155099999999322e+01
9.980000000000000000e+03,-1.021907350000000037e+02
1.025500000000000000e+04,-1.058989890000000003e+02
1.035600000000000000e+04,-1.305186809999999866e+02
1.040500000000000000e+04,-1.013660200000000060e+02
1.046300000000000000e+04,-1.083110599999999977e+02
1.061300000000000000e+04,-1.103594640000000027e+02
1.066800000000000000e+04,-1.016578420000000023e+02
1.073000000000000000e+04,-1.047869630000000001e+02
1.094600000000000000e+04,-1.155200179999999932e+02
1.112600000000000000e+04,-1.356775930000000017e+02
1.118900000000000000e+04,-1.032262649999999979e+02
1.129200000000000000e+04,-1.251463389999999976e+02
1.140400000000000000e+04,-9.958083399999999585e+01
1.148800000000000000e+04,-9.448328300000000013e+01
1.170300000000000000e+04,-9.404047400000000323e+01
1.180300000000000000e+04,-1.046381700000000023e+02
1.186200000000000000e+04,-1.044732589999999988e+02
1.192100000000000000e+04,-1.131745520000000056e+02
1.204600000000000000e+04,-1.056067809999999980e+02
1.212600000000000000e+04,-9.464934599999999421e+01
1.227500000000000000e+04,-1.023345979999999997e+02
1.232000000000000000e+04,-1.175464489999999955e+02
1.236400000000000000e+04,-1.125906729999999953e+02
1.246600000000000000e+04,-1.101738600000000048e+02
1.251200000000000000e+04,-1.263531430000000029e+02
1.265800000000000000e+04,-1.166003489999999942e+02
1.290500000000000000e+04,-1.241659949999999952e+02
1.300600000000000000e+04,-1.128812790000000064e+02
1.311600000000000000e+04,-1.068076460000000054e+02
1.317900000000000000e+04,-1.069407719999999955e+02
1.324100000000000000e+04,-1.213160490000000067e+02
1.377000000000000000e+04,-1.493840820000000065e+02
1.385100000000000000e+04,-1.156038209999999964e+02
1.394500000000000000e+04,-1.136979529999999983e+02
1.401200000000000000e+04,-9.814997099999999364e+01
1.413100000000000000e+04,-1.082035190000000000e+02
1.419100000000000000e+04,-1.134659110000000055e+02
1.424200000000000000e+04,-1.208285029999999978e+02
1.435000000000000000e+04,-1.076354989999999958e+02
1.443700000000000000e+04,-9.864387800000000084e+01
1.533900000000000000e+04,-1.618854770000000087e+02
1.574600000000000000e+04,-1.457213849999999979e+02
1.589600000000000000e+04,-1.371307869999999980e+02
1.749600000000000000e+04,-9.674276799999999810e+01
1.909600000000000000e+04,-9.626754900000000248e+01
1.918800000000000000e+04,-1.070928499999999985e+02
1.924400000000000000e+04,-1.105538700000000034e+02
1.936900000000000000e+04,-1.094741779999999949e+02
1.949800000000000000e+04,-1.059235330000000062e+02
1.960100000000000000e+04,-1.052162079999999946e+02
2.011300000000000000e+04,-1.045344999999999942e+02
2.171300000000000000e+04,-1.116167990000000003e+02
2.331300000000000000e+04,-5.434828300000000212e+01
2.491300000000000000e+04,-8.302108599999999683e+01
2.651300000000000000e+04,-7.172872800000000382e+01
2.811300000000000000e+04,-8.044714000000000453e+01
2.971300000000000000e+04,-7.585111100000000306e+01
3.160000000000000000e+04,-6.610543800000000658e+01
3.320000000000000000e+04,-6.657017100000000198e+01
3.480000000000000000e+04,-6.634397500000000036e+01
3.487200000000000000e+04,-1.032332009999999940e+02
3.491700000000000000e+04,-1.024667460000000005e+02
3.497300000000000000e+04,-1.059927140000000065e+02
3.504200000000000000e+04,-1.035288970000000006e+02
3.511100000000000000e+04,-9.741911100000000090e+01
3.519700000000000000e+04,-1.005315169999999938e+02
3.679700000000000000e+04,-7.533504800000000046e+01
3.688300000000000000e+04,-1.021578710000000001e+02
3.695500000000000000e+04,-9.828529100000000085e+01
3.701300000000000000e+04,-1.021095629999999943e+02
3.711800000000000000e+04,-1.144804060000000021e+02
3.871800000000000000e+04,-6.666257699999999886e+01
3.881400000000000000e+04,-1.028149990000000003e+02
4.160000000000000000e+04,-5.555065199999999948e+01
4.167800000000000000e+04,-9.830767699999999820e+01
4.177500000000000000e+04,-9.885727500000000134e+01
4.187800000000000000e+04,-1.005332549999999969e+02
4.197000000000000000e+04,-1.007668840000000046e+02
4.357000000000000000e+04,-5.063944999999999652e+01
4.517000000000000000e+04,-6.047451999999999828e+01
4.677000000000000000e+04,-8.305848199999999792e+01
4.837000000000000000e+04,-6.453734799999999439e+01
4.997000000000000000e+04,-5.734963199999999972e+01
5.007700000000000000e+04,-1.051934619999999967e+02
5.167700000000000000e+04,-5.462823399999999907e+01
5.180200000000000000e+04,-9.808836100000000613e+01
5.192300000000000000e+04,-1.074758089999999982e+02
5.352300000000000000e+04,-4.651836200000000332e+01
5.362000000000000000e+04,-1.060824680000000058e+02
5.381200000000000000e+04,-1.061698149999999998e+02
5.541200000000000000e+04,-4.120030599999999765e+01
5.701200000000000000e+04,-8.417678399999999783e+01
