timesteps,rewards
5.700000000000000000e+01,-1.000474020000000053e+02
1.180000000000000000e+02,-9.966034600000000410e+01
1.718000000000000000e+03,-9.315232399999999302e+01
1.777000000000000000e+03,-1.147676639999999963e+02
3.377000000000000000e+03,-7.932280000000000086e+01
3.445000000000000000e+03,-1.108986340000000013e+02
3.520000000000000000e+03,-1.003782139999999998e+02
3.586000000000000000e+03,-1.009654529999999966e+02
5.186000000000000000e+03,-8.231587000000000387e+01
6.786000000000000000e+03,-7.317696499999999560e+01
8.386000000000000000e+03,-8.813625100000000145e+01
8.485000000000000000e+03,-1.170770619999999980e+02
8.552000000000000000e+03,-1.072792550000000062e+02
8.614000000000000000e+03,-1.052993210000000062e+02
8.682000000000000000e+03,-1.004907910000000015e+02
8.760000000000000000e+03,-1.010237860000000012e+02
8.846000000000000000e+03,-1.179242979999999932e+02
1.008500000000000000e+04,-1.039092409999999944e+02
1.012900000000000000e+04,-1.084096049999999991e+02
1.043500000000000000e+04,-1.378428930000000037e+02
1.048700000000000000e+04,-1.012851079999999939e+02
1.054300000000000000e+04,-1.008505640000000056e+02
1.060400000000000000e+04,-1.079643729999999948e+02
1.123300000000000000e+04,-1.613137049999999988e+02
1.130600000000000000e+04,-1.173203819999999951e+02
1.141900000000000000e+04,-1.217474870000000067e+02
1.152500000000000000e+04,-1.313086270000000013e+02
1.186600000000000000e+04,-1.293019020000000125e+02
1.191500000000000000e+04,-1.156413210000000049e+02
1.216500000000000000e+04,-1.306143739999999980e+02
1.224200000000000000e+04,-1.041942360000000036e+02
1.234100000000000000e+04,-1.019448649999999930e+02
1.241400000000000000e+04,-1.150181960000000032e+02
1.259200000000000000e+04,-1.268290920000000028e+02
1.276900000000000000e+04,-1.066427019999999999e+02
1.285300000000000000e+04,-1.121523980000000051e+02
1.293400000000000000e+04,-1.142334380000000067e+02
1.308000000000000000e+04,-1.050415950000000009e+02
1.311900000000000000e+04,-1.112088690000000071e+02
1.332000000000000000e+04,-1.348755569999999864e+02
1.341800000000000000e+04,-1.072365010000000041e+02
1.348900000000000000e+04,-1.174009159999999952e+02
1.392600000000000000e+04,-1.573306129999999996e+02
1.401300000000000000e+04,-1.292995990000000006e+02
1.406500000000000000e+04,-1.109595779999999934e+02
1.431100000000000000e+04,-1.407744720000000029e+02
1.465000000000000000e+04,-1.108915729999999940e+02
1.479600000000000000e+04,-1.077091750000000019e+02
1.509500000000000000e+04,-1.142322929999999985e+02
1.516000000000000000e+04,-1.098703789999999998e+02
1.524100000000000000e+04,-1.023799949999999939e+02
1.529800000000000000e+04,-1.056512850000000014e+02
1.586000000000000000e+04,-1.535892320000000097e+02
1.593100000000000000e+04,-1.188460309999999964e+02
1.608400000000000000e+04,-1.157593849999999946e+02
1.612700000000000000e+04,-1.182663589999999942e+02
1.772700000000000000e+04,-1.024133099999999956e+02
1.932700000000000000e+04,-1.080662229999999937e+02
2.068500000000000000e+04,-1.339156079999999918e+02
2.075700000000000000e+04,-1.006493119999999948e+02
2.086300000000000000e+04,-9.940338699999999506e+01
2.246300000000000000e+04,-5.520851600000000303e+01
2.406300000000000000e+04,-1.050571750000000009e+02
2.566300000000000000e+04,-8.970917099999999778e+01
2.726300000000000000e+04,-9.674522500000000491e+01
2.886300000000000000e+04,-9.436035800000000506e+01
2.892600000000000000e+04,-1.039312500000000057e+02
2.911700000000000000e+04,-1.123138479999999930e+02
3.017700000000000000e+04,-1.024312039999999939e+02
3.027800000000000000e+04,-1.052856649999999945e+02
3.187800000000000000e+04,-1.001279049999999984e+02
3.347800000000000000e+04,-7.915434299999999723e+01
3.358000000000000000e+04,-1.052257579999999990e+02
3.366500000000000000e+04,-1.062436450000000008e+02
3.378900000000000000e+04,-9.991644399999999848e+01
3.387300000000000000e+04,-1.047569790000000012e+02
3.396500000000000000e+04,-1.109445340000000044e+02
3.405300000000000000e+04,-1.053465039999999959e+02
3.412500000000000000e+04,-1.103477429999999941e+02
3.419500000000000000e+04,-1.049959219999999931e+02
3.427200000000000000e+04,-1.069495859999999965e+02
3.435400000000000000e+04,-1.039115790000000032e+02
3.447400000000000000e+04,-1.040468110000000053e+02
3.607400000000000000e+04,-4.057530400000000270e+01
3.622600000000000000e+04,-1.051667860000000019e+02
3.630100000000000000e+04,-1.085707979999999964e+02
3.639400000000000000e+04,-9.608784300000000655e+01
3.651800000000000000e+04,-1.027269620000000003e+02
3.811800000000000000e+04,-7.121578200000000436e+01
3.951700000000000000e+04,-2.079120460000000037e+02
4.160000000000000000e+04,-7.325757900000000689e+01
4.320000000000000000e+04,-6.919848899999999503e+01
4.480000000000000000e+04,-6.429221200000000636e+01
4.640000000000000000e+04,-5.675703000000000031e+01
4.800000000000000000e+04,-6.499835699999999861e+01
4.817700000000000000e+04,-1.095792139999999932e+02
4.831900000000000000e+04,-1.054694599999999980e+02
4.846400000000000000e+04,-1.009651170000000064e+02
4.852300000000000000e+04,-1.028500700000000023e+02
4.858800000000000000e+04,-1.012758400000000023e+02
4.864300000000000000e+04,-1.025408379999999937e+02
4.870700000000000000e+04,-1.030012229999999960e+02
4.879700000000000000e+04,-1.073627960000000030e+02
4.888300000000000000e+04,-1.002581310000000059e+02
4.895600000000000000e+04,-1.016933379999999971e+02
4.907900000000000000e+04,-1.034047290000000032e+02
4.915200000000000000e+04,-1.029667270000000059e+02
4.926300000000000000e+04,-9.801683300000000543e+01
4.945700000000000000e+04,-9.391087500000000432e+01
4.951600000000000000e+04,-1.037377359999999982e+02
5.160000000000000000e+04,-6.816146600000000433e+01
5.181600000000000000e+04,-1.381482609999999909e+02
5.190800000000000000e+04,-1.255470739999999950e+02
5.215100000000000000e+04,-1.107499519999999933e+02
5.228200000000000000e+04,-1.089746279999999956e+02
5.238900000000000000e+04,-1.080759960000000035e+02
5.398900000000000000e+04,-8.710175099999999304e+01
5.558900000000000000e+04,-4.285657700000000148e+01
5.718900000000000000e+04,-6.501611200000000679e+01
5.878900000000000000e+04,-7.196650599999999542e+01
6.160000000000000000e+04,-8.570837099999999964e+01
6.320000000000000000e+04,-6.978699100000000044e+01
6.452500000000000000e+04,-1.257553500000000071e+02
6.533000000000000000e+04,-1.125005000000000024e+02
6.543700000000000000e+04,-1.045342260000000039e+02
6.703700000000000000e+04,-5.028833699999999851e+01
6.729500000000000000e+04,-1.059605530000000044e+02
6.889500000000000000e+04,-2.426438100000000020e+01
7.160000000000000000e+04,-5.234462099999999651e+01
7.320000000000000000e+04,-5.039833600000000047e+01
7.480000000000000000e+04,-5.314506000000000085e+01
7.640000000000000000e+04,-6.516209700000000282e+01
7.651600000000000000e+04,-9.541182600000000491e+01
7.669600000000000000e+04,-9.243627100000000496e+01
7.690400000000000000e+04,-8.871620199999999556e+01
7.704000000000000000e+04,-9.677733200000000124e+01
7.722100000000000000e+04,-1.058763859999999966e+02
7.738900000000000000e+04,-1.293884689999999864e+02
7.898900000000000000e+04,-5.480261999999999745e+01
7.910600000000000000e+04,-1.112545180000000045e+02
7.924700000000000000e+04,-1.073306829999999934e+02
7.941200000000000000e+04,-9.998626699999999801e+01
7.951300000000000000e+04,-1.044572639999999950e+02
7.964700000000000000e+04,-1.049918980000000062e+02
8.014800000000000000e+04,-1.036042379999999952e+02
8.032500000000000000e+04,-1.045147549999999939e+02
8.192500000000000000e+04,-5.392123899999999992e+01
8.352500000000000000e+04,-2.963723099999999988e+01
8.512500000000000000e+04,-5.546086900000000242e+01
8.672500000000000000e+04,-5.611972200000000299e+01
8.832500000000000000e+04,-3.189313399999999987e+01
8.992500000000000000e+04,-6.930887599999999793e+01
9.010400000000000000e+04,-1.115585990000000010e+02
9.170400000000000000e+04,-4.611353799999999836e+01
9.180600000000000000e+04,-1.075749090000000052e+02
9.340600000000000000e+04,-3.568928700000000021e+01
9.500600000000000000e+04,-3.681997100000000245e+01
9.660600000000000000e+04,-4.495823699999999690e+01
9.820600000000000000e+04,-4.246021900000000215e+01
9.980600000000000000e+04,-4.952121999999999957e+01
1.016000000000000000e+05,-3.637055399999999850e+01
1.021640000000000000e+05,-9.599461800000000267e+01
1.037640000000000000e+05,-6.750621300000000247e+01
1.053640000000000000e+05,-4.506578100000000120e+01
1.069640000000000000e+05,-2.659279799999999838e+01
1.085640000000000000e+05,-3.589959100000000092e+01
1.116000000000000000e+05,-1.909932200000000080e+01
1.132000000000000000e+05,2.185898699999999906e+01
1.148000000000000000e+05,2.113574200000000047e+01
1.161820000000000000e+05,-9.825303399999999954e+01
1.177820000000000000e+05,-5.852197000000000315e+00
1.193820000000000000e+05,1.314167600000000036e+01
1.216000000000000000e+05,-1.618198999999999943e+00
1.232000000000000000e+05,-1.435696599999999989e+01
1.248000000000000000e+05,-8.172178000000000608e+00
1.264000000000000000e+05,-1.031426300000000040e+01
1.280000000000000000e+05,-1.022184000000000026e+01
1.296000000000000000e+05,-7.895050999999999597e+00
1.302790000000000000e+05,-7.589100200000000029e+01
1.318790000000000000e+05,-3.111042799999999886e+01
1.334790000000000000e+05,-2.150784600000000069e+01
1.350790000000000000e+05,-2.284758599999999973e+01
1.366790000000000000e+05,1.238124000000000002e+00
1.368930000000000000e+05,-1.008127250000000004e+02
1.384930000000000000e+05,-2.191223300000000052e+01
1.416000000000000000e+05,5.491270000000000318e-01
1.432000000000000000e+05,-1.584391100000000030e+01
1.448000000000000000e+05,-2.853248299999999915e+01
1.464000000000000000e+05,-2.222301200000000065e+01
1.466990000000000000e+05,-8.754068300000000136e+01
1.482990000000000000e+05,-1.136071800000000032e+01
1.498990000000000000e+05,-1.802562199999999848e+01
1.516000000000000000e+05,2.797988000000000142e+00
1.532000000000000000e+05,1.093849900000000019e+01
1.548000000000000000e+05,-2.734279400000000138e+01
1.550310000000000000e+05,-7.559699799999999925e+01
1.566310000000000000e+05,-2.486075999999999908e+01
1.567930000000000000e+05,-8.381489100000000292e+01
1.583930000000000000e+05,-2.634436600000000084e+01
1.585630000000000000e+05,-9.210873399999999833e+01
1.601300000000000000e+05,-9.101291100000000256e+01
1.617300000000000000e+05,7.048240000000000061e-01
1.633300000000000000e+05,-2.605834300000000070e+01
1.633950000000000000e+05,-1.100614280000000065e+02
1.649950000000000000e+05,-2.659469400000000050e+01
1.665950000000000000e+05,2.322342300000000037e+01
1.667670000000000000e+05,-8.913093800000000044e+01
1.678830000000000000e+05,-5.482421699999999731e+01
1.679580000000000000e+05,-1.145066939999999960e+02
1.684770000000000000e+05,-6.104623699999999786e+01
1.716000000000000000e+05,-5.285890599999999750e+01
1.732000000000000000e+05,3.812678999999999974e+01
1.735280000000000000e+05,-7.514388499999999738e+01
1.751280000000000000e+05,-3.938452499999999645e+01
1.756240000000000000e+05,-4.287251599999999740e+01
1.757880000000000000e+05,-8.490536600000000078e+01
1.773880000000000000e+05,-1.739091200000000015e+01
1.789880000000000000e+05,5.203522999999999676e+00
1.816000000000000000e+05,-2.763318599999999847e+01
1.832000000000000000e+05,2.412376099999999823e+01
1.848000000000000000e+05,-1.673441400000000101e+01
1.864000000000000000e+05,-2.329724399999999918e+01
1.880000000000000000e+05,-1.955615900000000096e+01
1.896000000000000000e+05,-3.090870999999999924e+00
1.916000000000000000e+05,1.473458800000000046e+01
1.932000000000000000e+05,-2.940860199999999836e+01
1.934000000000000000e+05,-7.175794199999999989e+01
1.950000000000000000e+05,-1.824741900000000072e+01
1.966000000000000000e+05,-2.918849999999999945e+00
1.968870000000000000e+05,-8.781793799999999806e+01
1.970410000000000000e+05,-1.000539579999999944e+02
1.986410000000000000e+05,-2.083772099999999838e+01
2.016000000000000000e+05,1.072613999999999912e+01
2.032000000000000000e+05,5.879799999999999471e-01
2.048000000000000000e+05,-1.294666100000000064e+01
2.064000000000000000e+05,-3.685564999999999980e+00
2.080000000000000000e+05,-8.133299999999999974e-01
2.096000000000000000e+05,2.005105700000000013e+01
2.097930000000000000e+05,-7.782705500000000143e+01
2.116000000000000000e+05,-4.473366999999999649e+00
2.118470000000000000e+05,-7.835353100000000381e+01
2.128840000000000000e+05,2.694639000000000095e+01
2.144840000000000000e+05,-2.188801899999999989e+01
2.160840000000000000e+05,8.135770000000000834e+00
2.176840000000000000e+05,3.702446599999999677e+01
2.183620000000000000e+05,-1.774584400000000173e+01
2.199620000000000000e+05,5.239709999999999646e+00
2.216000000000000000e+05,2.341755500000000012e+01
2.232000000000000000e+05,7.160600000000000298e-02
2.248000000000000000e+05,-3.611541400000000124e+01
2.264000000000000000e+05,-2.487264400000000109e+01
2.272750000000000000e+05,6.629529999999999923e+00
2.277920000000000000e+05,-2.875966000000000022e+01
2.293920000000000000e+05,8.183906299999999590e+01
2.316000000000000000e+05,-1.648487599999999986e+01
2.332000000000000000e+05,4.456228699999999776e+01
2.348000000000000000e+05,5.809713500000000153e+01
2.364000000000000000e+05,-3.470517199999999747e+01
2.380000000000000000e+05,-2.017113700000000165e+01
2.396000000000000000e+05,-2.531328800000000001e+01
2.398980000000000000e+05,-8.698043499999999995e+01
2.416000000000000000e+05,-2.553300999999999821e+00
2.432000000000000000e+05,2.277639800000000037e+01
2.448000000000000000e+05,1.481408899999999917e+01
2.464000000000000000e+05,2.333526119999999935e+02
2.480000000000000000e+05,-1.628545000000000087e+01
2.496000000000000000e+05,1.355371169999999950e+02
2.516000000000000000e+05,8.689374800000000221e+01
2.532000000000000000e+05,2.615832030000000259e+02
2.535840000000000000e+05,-4.368307300000000026e+01
2.546550000000000000e+05,7.223458300000000065e+01
2.548560000000000000e+05,-7.354777099999999734e+01
2.554750000000000000e+05,-4.360022999999999982e+00
2.561730000000000000e+05,-3.661664000000000030e+00
2.569150000000000000e+05,1.084442300000000081e+01
2.585150000000000000e+05,-1.873238100000000017e+01
2.616000000000000000e+05,9.430018999999999707e+00
2.632000000000000000e+05,2.131593959999999868e+02
2.647120000000000000e+05,1.332445639999999969e+02
2.663120000000000000e+05,2.995434099999999944e+01
2.666220000000000000e+05,-7.456824299999999539e+01
2.669400000000000000e+05,-9.540329699999999491e+01
2.685400000000000000e+05,2.256368150000000128e+02
2.711480000000000000e+05,9.819976499999999930e+01
2.727220000000000000e+05,2.738630099999999743e+02
2.743220000000000000e+05,1.424730959999999982e+02
2.759220000000000000e+05,3.638448600000000255e+01
2.775220000000000000e+05,2.403846069999999884e+02
2.791220000000000000e+05,1.232731179999999966e+02
2.814920000000000000e+05,2.725717599999999834e+02
2.829810000000000000e+05,2.781507330000000024e+02
2.845360000000000000e+05,2.786003509999999892e+02
2.861360000000000000e+05,2.429837379999999882e+02
2.877360000000000000e+05,1.856753659999999968e+02
2.893360000000000000e+05,2.359348610000000122e+02
2.902410000000000000e+05,-6.932606699999999478e+01
2.918410000000000000e+05,2.162072660000000042e+02
2.932990000000000000e+05,2.775607170000000110e+02
2.936640000000000000e+05,-4.664988199999999807e+01
2.952640000000000000e+05,2.069182319999999891e+02
