Wall time,Step,Value
1733797427.4479156,800,-1492.3681640625
1733797436.9155219,1600,-1495.02001953125
1733797446.265253,2400,-1316.3402099609375
1733797454.9935558,3200,-1132.6019287109375
1733797463.4825244,4000,-925.2979736328125
1733797472.259516,4800,-791.5304565429688
1733797481.4887605,5600,-696.0200805664062
1733797491.1019247,6400,-631.36328125
1733797500.1860912,7200,-584.7042236328125
1733797509.243451,8000,-538.29443359375
1733797518.491041,8800,-565.4452514648438
1733797528.1983159,9600,-532.9916381835938
1733797537.8917599,10400,-501.54937744140625
1733797546.652165,11200,-475.7605895996094
1733797556.071099,12000,-452.2503356933594
1733797566.2045205,12800,-433.5284118652344
1733797575.0308487,13600,-418.521728515625
1733797583.264858,14400,-406.2390441894531
1733797593.0082173,15200,-391.3339538574219
1733797602.2125602,16000,-379.4302673339844
1733797611.6127632,16800,-370.04583740234375
1733797620.935743,17600,-358.9414978027344
1733797630.3562865,18400,-351.3846740722656
1733797639.464254,19200,-344.308349609375
1733797648.5514476,20000,-336.4548645019531
