timesteps,rewards
2.000000000000000000e+02,-1.403683557999999948e+03
4.000000000000000000e+02,-1.516829077999999981e+03
6.000000000000000000e+02,-1.652425120000000106e+03
8.000000000000000000e+02,-1.396534683999999970e+03
1.000000000000000000e+03,-1.627003298999999970e+03
1.200000000000000000e+03,-1.491774842000000035e+03
1.400000000000000000e+03,-1.446544797999999901e+03
1.600000000000000000e+03,-1.425365052000000105e+03
1.800000000000000000e+03,-1.205068788000000040e+03
2.000000000000000000e+03,-1.079572433999999930e+03
2.200000000000000000e+03,-9.034368359999999711e+02
2.400000000000000000e+03,-6.478436169999999947e+02
2.600000000000000000e+03,-7.321886809999999741e+02
2.800000000000000000e+03,-3.940895939999999769e+02
3.000000000000000000e+03,-1.070851548000000093e+03
3.200000000000000000e+03,-1.284190120000000093e+02
3.400000000000000000e+03,-1.293701169999999934e+02
3.600000000000000000e+03,-1.318950790000000097e+02
3.800000000000000000e+03,-2.636438000000000059e+00
4.000000000000000000e+03,-1.204264009999999985e+02
4.200000000000000000e+03,-1.255094459999999970e+02
4.400000000000000000e+03,-1.253101850000000042e+02
4.600000000000000000e+03,-1.172900790000000057e+02
4.800000000000000000e+03,-1.226619409999999988e+02
5.000000000000000000e+03,-2.484163200000000131e+02
5.200000000000000000e+03,-1.159575810000000047e+02
5.400000000000000000e+03,-1.266668549999999982e+02
5.600000000000000000e+03,-7.906840000000000535e-01
5.800000000000000000e+03,-2.502874559999999917e+02
6.000000000000000000e+03,-1.199654950000000042e+02
6.200000000000000000e+03,-3.434833320000000185e+02
6.400000000000000000e+03,-1.325979000000000019e+00
6.600000000000000000e+03,-3.440510850000000005e+02
6.800000000000000000e+03,-6.998820000000000041e-01
7.000000000000000000e+03,-2.557761730000000000e+02
7.200000000000000000e+03,-2.452014310000000137e+02
7.400000000000000000e+03,-1.164487000000000050e+00
7.600000000000000000e+03,-1.258424880000000030e+02
7.800000000000000000e+03,-2.383862799999999993e+02
8.000000000000000000e+03,-1.170319360000000017e+02
8.200000000000000000e+03,-1.220482700000000023e+02
8.400000000000000000e+03,-1.321331963999999971e+03
8.600000000000000000e+03,-1.553600525999999945e+03
8.800000000000000000e+03,-3.508315799999999740e+02
9.000000000000000000e+03,-1.238800939999999997e+02
9.200000000000000000e+03,-1.196595329999999962e+02
9.400000000000000000e+03,-2.324859840000000020e+02
9.600000000000000000e+03,-2.279819349999999929e+02
9.800000000000000000e+03,-1.251402559999999937e+02
1.000000000000000000e+04,-1.239227319999999963e+02
1.020000000000000000e+04,-1.181602489999999932e+02
1.040000000000000000e+04,-1.297468440000000101e+02
1.060000000000000000e+04,-1.235158260000000041e+02
1.080000000000000000e+04,-1.221230000000000038e+00
1.100000000000000000e+04,-3.143851339999999936e+02
1.120000000000000000e+04,-1.229035149999999987e+02
1.140000000000000000e+04,-2.442230549999999880e+02
1.160000000000000000e+04,-1.205818399999999997e+02
1.180000000000000000e+04,-1.257135320000000007e+02
1.200000000000000000e+04,-1.907775999999999916e+00
1.220000000000000000e+04,-1.201470079999999996e+02
1.240000000000000000e+04,-1.247159249999999986e+02
1.260000000000000000e+04,-2.458399900000000002e+02
1.280000000000000000e+04,-1.200947380000000067e+02
1.300000000000000000e+04,-1.254807179999999960e+02
1.320000000000000000e+04,-1.243611860000000036e+02
1.340000000000000000e+04,-2.264533839999999998e+02
1.360000000000000000e+04,-2.373639000000000010e+02
1.380000000000000000e+04,-1.228786759999999987e+02
1.400000000000000000e+04,-3.168420419999999922e+02
1.420000000000000000e+04,-1.261346020000000010e+02
1.440000000000000000e+04,-2.238780069999999967e+02
1.460000000000000000e+04,-1.276791120000000035e+02
1.480000000000000000e+04,-4.255158999999999914e+00
1.500000000000000000e+04,-1.218176660000000027e+02
1.520000000000000000e+04,-2.384178829999999891e+02
1.540000000000000000e+04,-2.452989469999999983e+02
1.560000000000000000e+04,-1.189370700000000056e+02
1.580000000000000000e+04,-1.218921650000000056e+02
1.600000000000000000e+04,-1.269144620000000003e+02
1.620000000000000000e+04,-1.225510890000000046e+02
1.640000000000000000e+04,-1.305293220000000076e+02
1.660000000000000000e+04,-2.345230070000000069e+02
1.680000000000000000e+04,-2.418248269999999991e+02
1.700000000000000000e+04,-1.267055100000000039e+02
1.720000000000000000e+04,-2.948891000000000151e+00
1.740000000000000000e+04,-2.531002729999999872e+02
1.760000000000000000e+04,-1.202463120000000032e+02
1.780000000000000000e+04,-1.228460000000000036e+02
1.800000000000000000e+04,-2.485566609999999912e+02
1.820000000000000000e+04,-3.638748620000000074e+02
1.840000000000000000e+04,-5.261705000000000076e+00
1.860000000000000000e+04,-2.398181620000000009e+02
1.880000000000000000e+04,-2.361563700000000097e+02
1.900000000000000000e+04,-1.277023820000000001e+02
1.920000000000000000e+04,-1.225335429999999945e+02
1.940000000000000000e+04,-1.287677030000000116e+02
1.960000000000000000e+04,-6.006537999999999933e+00
1.980000000000000000e+04,-2.315888869999999997e+02
2.000000000000000000e+04,-2.255211740000000020e+02
