timesteps,rewards
2.000000000000000000e+02,-9.645091629999999441e+02
4.000000000000000000e+02,-1.485583159000000023e+03
6.000000000000000000e+02,-1.275825405000000046e+03
8.000000000000000000e+02,-1.839432297999999946e+03
1.000000000000000000e+03,-1.721629875000000084e+03
1.200000000000000000e+03,-1.634448548999999957e+03
1.400000000000000000e+03,-1.468039168000000018e+03
1.600000000000000000e+03,-1.196170386000000008e+03
1.800000000000000000e+03,-1.240383454000000029e+03
2.000000000000000000e+03,-7.787324099999999589e+02
2.200000000000000000e+03,-9.496522899999999936e+02
2.400000000000000000e+03,-7.703270609999999579e+02
2.600000000000000000e+03,-2.550996370000000013e+02
2.800000000000000000e+03,-2.356593000000000160e+00
3.000000000000000000e+03,-2.630284280000000194e+02
3.200000000000000000e+03,-2.495512640000000033e+02
3.400000000000000000e+03,-1.224527190000000019e+02
3.600000000000000000e+03,-1.217576690000000070e+02
3.800000000000000000e+03,-1.265552619999999990e+02
4.000000000000000000e+03,-1.293347809999999924e+02
4.200000000000000000e+03,-1.270892560000000060e+02
4.400000000000000000e+03,-1.330661503999999923e+03
4.600000000000000000e+03,-1.210439319999999981e+02
4.800000000000000000e+03,-2.340843930000000057e+02
5.000000000000000000e+03,-2.392100259999999992e+02
5.200000000000000000e+03,-1.249170079999999956e+02
5.400000000000000000e+03,-1.189631990000000030e+02
5.600000000000000000e+03,-1.199785880000000020e+02
5.800000000000000000e+03,-1.255897850000000062e+02
6.000000000000000000e+03,-1.250234669999999966e+02
6.200000000000000000e+03,-1.212935499999999962e+02
6.400000000000000000e+03,-1.266363070000000022e+02
6.600000000000000000e+03,-2.321492509999999925e+02
6.800000000000000000e+03,-2.392510000000000137e+00
7.000000000000000000e+03,-2.617262160000000222e+02
7.200000000000000000e+03,-1.454647000000000023e+00
7.400000000000000000e+03,-3.595160549999999944e+02
7.600000000000000000e+03,-1.228857390000000009e+02
7.800000000000000000e+03,-1.225040599999999955e+02
8.000000000000000000e+03,-1.221751129999999961e+02
8.200000000000000000e+03,-1.210913659999999936e+02
8.400000000000000000e+03,-1.197747320000000002e+02
8.600000000000000000e+03,-1.220855279999999965e+02
8.800000000000000000e+03,-1.190243499999999983e+02
9.000000000000000000e+03,-1.209557580000000030e+02
9.200000000000000000e+03,-6.205084000000000266e+00
9.400000000000000000e+03,-1.200392729999999943e+02
9.600000000000000000e+03,-1.135569270000000017e+02
9.800000000000000000e+03,-1.211106609999999932e+02
1.000000000000000000e+04,-1.249519499999999965e+02
1.020000000000000000e+04,-1.262438209999999970e+02
1.040000000000000000e+04,-2.233855489999999975e+02
1.060000000000000000e+04,-9.300100000000000033e-01
1.080000000000000000e+04,-2.258723850000000084e+02
1.100000000000000000e+04,-1.189816090000000059e+02
1.120000000000000000e+04,-2.531846089999999947e+02
1.140000000000000000e+04,-8.074580000000000091e-01
1.160000000000000000e+04,-1.212997699999999952e+02
1.180000000000000000e+04,-1.200133419999999944e+02
1.200000000000000000e+04,-1.163268690000000021e+02
1.220000000000000000e+04,-1.214145579999999995e+02
1.240000000000000000e+04,-1.289750420000000020e+02
1.260000000000000000e+04,-1.261362740000000002e+02
1.280000000000000000e+04,-1.261635320000000036e+02
1.300000000000000000e+04,-2.340261089999999911e+02
1.320000000000000000e+04,-2.324233340000000112e+02
1.340000000000000000e+04,-2.423863880000000108e+02
1.360000000000000000e+04,-1.271682430000000039e+02
1.380000000000000000e+04,-6.896579999999999933e-01
1.400000000000000000e+04,-1.199617800000000045e+02
1.420000000000000000e+04,-3.617819929999999999e+02
1.440000000000000000e+04,-2.408370290000000011e+02
1.460000000000000000e+04,-2.397618879999999990e+02
1.480000000000000000e+04,-2.383257319999999879e+02
1.500000000000000000e+04,-2.389291580000000010e+02
1.520000000000000000e+04,-2.386945110000000057e+02
1.540000000000000000e+04,-2.343530509999999936e+02
1.560000000000000000e+04,-1.220796830000000028e+02
1.580000000000000000e+04,-2.308434120000000007e+02
1.600000000000000000e+04,-2.332158169999999870e+02
1.620000000000000000e+04,-1.226782299999999992e+02
1.640000000000000000e+04,-1.550969000000000042e+00
1.660000000000000000e+04,-2.301305059999999969e+02
1.680000000000000000e+04,-1.251937980000000010e+02
1.700000000000000000e+04,-1.141317659999999989e+02
1.720000000000000000e+04,-2.433755720000000053e+02
1.740000000000000000e+04,-1.284511740000000088e+02
1.760000000000000000e+04,-1.180179830000000010e+02
1.780000000000000000e+04,-2.247056149999999946e+02
1.800000000000000000e+04,-3.222289519999999925e+02
1.820000000000000000e+04,-1.268892969999999991e+02
1.840000000000000000e+04,-1.196689449999999937e+02
1.860000000000000000e+04,-1.274560290000000009e+02
1.880000000000000000e+04,-1.169733949999999965e+02
1.900000000000000000e+04,-3.490076339999999959e+02
1.920000000000000000e+04,-9.313139999999999752e-01
1.940000000000000000e+04,-1.271379900000000021e+02
1.960000000000000000e+04,-2.332057240000000036e+02
1.980000000000000000e+04,-1.192942970000000003e+02
2.000000000000000000e+04,-8.676970000000000516e-01
