Wall time,Step,Value
1733799591.9637117,345,-108.11837768554688
1733799593.204659,3665,-103.16969299316406
1733799594.3949041,6989,-99.6796646118164
1733799594.4808798,7287,-101.77987670898438
1733799594.5800946,7558,-102.07366943359375
1733799603.1017199,10145,-102.74647521972656
1733799607.1901617,10768,-106.5022201538086
1733799609.9333363,11115,-108.03887939453125
1733799626.3443265,12885,-106.9781494140625
1733799629.9614158,13264,-107.05057525634766
1733799632.8581686,13556,-106.97891235351562
1733799634.9218857,13780,-107.04609680175781
1733799640.2060328,14336,-107.66123962402344
1733799651.3200874,15486,-108.84793090820312
1733799657.2286797,16076,-109.5082778930664
1733799659.5048542,16319,-109.1196517944336
1733799661.7969687,16561,-109.103271484375
1733799664.2058058,16809,-109.0000991821289
1733799666.1534913,16997,-108.87574768066406
1733799668.1180198,17184,-108.79557800292969
1733799670.8375242,17437,-108.41718292236328
1733799673.3586426,17672,-108.12910461425781
1733799676.8234808,17975,-107.87673950195312
1733799680.6778958,18365,-107.63888549804688
1733799683.9808414,18700,-107.4639892578125
1733799687.2218652,19030,-107.31816864013672
1733799691.4685855,19455,-107.79830932617188
1733799700.618715,20255,-109.00021362304688
1733799704.6958425,20650,-109.49137115478516
1733799707.8442905,20964,-109.9045639038086
1733799712.2047448,21406,-110.38977813720703
1733799715.5238118,21744,-110.13552856445312
1733799729.634455,23096,-110.50276947021484
1733799733.9227448,23501,-110.90315246582031
1733799737.0459929,23808,-110.84406280517578
1733799741.6018374,24232,-111.11083984375
1733799745.944017,24662,-111.1834487915039
1733799772.8394787,27218,-110.66825103759766
1733799776.7554429,27594,-109.64723205566406
1733799792.7895713,29092,-109.49490356445312
1733799802.8866906,29989,-109.49627685546875
1733799826.9011965,32212,-109.545654296875
1733799838.1498082,33230,-109.70443725585938
1733799842.9552994,33675,-109.40816497802734
1733799847.181128,34078,-109.14533233642578
1733799867.5934622,35929,-109.27704620361328
1733799888.9313176,37866,-109.63969421386719
1733799956.0412462,43457,-109.47490692138672
1733800001.5662072,47732,-110.4359130859375
1733800031.7619784,50408,-111.96251678466797
1733800053.5212846,52465,-111.85211944580078
1733800079.71019,54966,-111.57906341552734
1733800088.1654851,55763,-110.64627075195312
1733800121.3925173,58742,-110.14876556396484
1733800158.645226,61963,-110.02796173095703
1733800212.245485,66400,-108.62842559814453
1733800242.594715,69039,-107.58929443359375
1733800313.372301,74014,-105.51505279541016
1733800322.3032544,74781,-105.3978042602539
1733800339.8060699,76222,-105.03518676757812
1733800412.301792,81600,-101.82579040527344
1733800498.3511007,88000,-95.67874908447266
1733800570.1048408,92773,-93.9515151977539
1733800646.0451574,98539,-87.84556579589844
1733800757.06807,106400,-79.11416625976562
1733800856.434136,113200,-69.38636016845703
1733800946.9672055,119600,-59.04742431640625
1733801021.4490144,124317,-53.02967071533203
1733801136.123458,131600,-45.8573112487793
1733801229.4329624,137947,-31.806026458740234
1733801334.0907588,144536,-17.092172622680664
1733801437.2941165,151353,-3.436394453048706
1733801532.277364,157753,9.574191093444824
1733801607.589445,162459,20.27785301208496
1733801653.1966076,165411,29.25548553466797
1733801707.7329493,169048,39.36088943481445
1733801769.197408,172851,49.65752410888672
1733801841.7993906,177743,64.76689910888672
1733801914.613454,182267,74.32270050048828
1733801962.6704946,185312,83.01200103759766
1733802054.3101363,191229,97.42219543457031
1733802125.7602994,195939,112.27301788330078
1733802184.9786084,199790,122.76708984375
1733802257.8909652,204268,136.74697875976562
1733802322.706832,208573,150.1475067138672
1733802373.6335955,211525,153.4425506591797
1733802439.5423238,215855,162.92608642578125
1733802500.055847,219871,173.78411865234375
1733802562.2613072,223667,180.19204711914062
1733802630.0932128,227829,187.70201110839844
1733802698.1869168,231987,193.81912231445312
1733802762.7631297,236048,199.51077270507812
1733802830.8216076,240000,209.64559936523438
1733802877.7017536,242987,214.20521545410156
1733802939.9691525,247001,215.81784057617188
1733803007.6256993,250995,216.94998168945312
1733803064.234604,254708,217.9842987060547
1733803125.776257,258593,220.52658081054688
1733803194.5041566,262868,226.58631896972656
1733803255.0570488,266692,234.94309997558594
1733803327.8149898,270894,238.4561309814453
1733803388.1339502,274475,244.19532775878906
1733803445.2745414,278109,244.9412384033203
1733803506.6805985,281820,251.61236572265625
1733803552.1727078,284607,255.4940948486328
1733803610.0184963,288101,256.315185546875
1733803671.6095319,291732,257.2108154296875
1733803719.3752458,294601,258.3599548339844
1733803778.0874674,298056,260.77398681640625
