timesteps,rewards
6.700000000000000000e+01,-1.178429509999999993e+02
1.600000000000000000e+02,-1.002665870000000012e+02
2.260000000000000000e+02,-1.142460580000000050e+02
3.450000000000000000e+02,-1.001179000000000059e+02
4.080000000000000000e+02,-1.143265549999999990e+02
2.008000000000000000e+03,-7.705064199999999630e+01
2.065000000000000000e+03,-1.126960590000000053e+02
3.665000000000000000e+03,-8.881080699999999695e+01
5.265000000000000000e+03,-7.604852200000000551e+01
5.314000000000000000e+03,-1.090531730000000010e+02
6.914000000000000000e+03,-8.387935500000000388e+01
6.989000000000000000e+03,-1.018173620000000028e+02
7.063000000000000000e+03,-1.096240679999999941e+02
7.179000000000000000e+03,-9.919468700000000183e+01
7.231000000000000000e+03,-1.127208880000000022e+02
7.287000000000000000e+03,-1.107824339999999950e+02
7.347000000000000000e+03,-1.083900579999999962e+02
7.407000000000000000e+03,-9.904021199999999681e+01
7.498000000000000000e+03,-9.777804600000000335e+01
7.558000000000000000e+03,-1.077870829999999955e+02
9.158000000000000000e+03,-7.618144100000000662e+01
9.251000000000000000e+03,-9.932870099999999525e+01
1.010400000000000000e+04,-1.254922049999999984e+02
1.014500000000000000e+04,-1.234396179999999958e+02
1.018700000000000000e+04,-1.231251759999999962e+02
1.022900000000000000e+04,-1.234590259999999944e+02
1.068600000000000000e+04,-1.604009629999999902e+02
1.076800000000000000e+04,-1.091615240000000000e+02
1.094800000000000000e+04,-1.158939570000000003e+02
1.102500000000000000e+04,-1.244425360000000040e+02
1.106300000000000000e+04,-1.105121149999999943e+02
1.111500000000000000e+04,-1.243335399999999993e+02
1.271500000000000000e+04,-6.956670800000000554e+01
1.277100000000000000e+04,-1.047084399999999960e+02
1.283300000000000000e+04,-1.128378639999999962e+02
1.288500000000000000e+04,-1.068562050000000028e+02
1.295900000000000000e+04,-1.130813870000000065e+02
1.301300000000000000e+04,-1.056825639999999993e+02
1.320100000000000000e+04,-1.095886050000000012e+02
1.326400000000000000e+04,-1.024570410000000038e+02
1.333600000000000000e+04,-9.858821500000000526e+01
1.341600000000000000e+04,-1.089618549999999999e+02
1.349200000000000000e+04,-1.128514279999999985e+02
1.355600000000000000e+04,-1.046474759999999975e+02
1.360500000000000000e+04,-1.078964650000000063e+02
1.365300000000000000e+04,-1.030281710000000004e+02
1.373700000000000000e+04,-1.109386509999999930e+02
1.378000000000000000e+04,-1.092772899999999936e+02
1.416600000000000000e+04,-1.444637319999999931e+02
1.422200000000000000e+04,-1.066360300000000052e+02
1.426600000000000000e+04,-1.021628620000000041e+02
1.433600000000000000e+04,-1.069092799999999954e+02
1.441000000000000000e+04,-1.107203949999999963e+02
1.446000000000000000e+04,-1.038657809999999984e+02
1.544300000000000000e+04,-1.769780590000000018e+02
1.548600000000000000e+04,-1.055353130000000021e+02
1.559100000000000000e+04,-1.080949959999999948e+02
1.564700000000000000e+04,-1.146340880000000055e+02
1.603500000000000000e+04,-1.470426420000000007e+02
1.607600000000000000e+04,-1.052411079999999970e+02
1.611800000000000000e+04,-1.044685149999999965e+02
1.621400000000000000e+04,-1.043240260000000035e+02
1.625800000000000000e+04,-1.029088380000000029e+02
1.631900000000000000e+04,-1.014592339999999950e+02
1.636700000000000000e+04,-1.079833069999999964e+02
1.645600000000000000e+04,-1.131638180000000062e+02
1.650200000000000000e+04,-1.147664589999999976e+02
1.656100000000000000e+04,-9.945141599999999471e+01
1.662500000000000000e+04,-1.043404680000000013e+02
1.668100000000000000e+04,-1.127013330000000053e+02
1.674600000000000000e+04,-1.055057950000000062e+02
1.680900000000000000e+04,-1.064369480000000010e+02
1.687400000000000000e+04,-9.974319099999999594e+01
1.691600000000000000e+04,-1.102733199999999982e+02
1.695700000000000000e+04,-1.102541619999999938e+02
1.699700000000000000e+04,-1.062793170000000060e+02
1.704300000000000000e+04,-1.100074529999999982e+02
1.709400000000000000e+04,-1.078762839999999983e+02
1.713900000000000000e+04,-1.088461190000000016e+02
1.718400000000000000e+04,-1.023595260000000025e+02
1.724700000000000000e+04,-1.023279399999999981e+02
1.729700000000000000e+04,-1.013495419999999996e+02
1.734700000000000000e+04,-1.012812820000000045e+02
1.743700000000000000e+04,-9.843795299999999315e+01
1.748900000000000000e+04,-1.015930409999999995e+02
1.754600000000000000e+04,-1.029457579999999979e+02
1.761500000000000000e+04,-1.001246110000000016e+02
1.767200000000000000e+04,-1.036548820000000006e+02
1.772400000000000000e+04,-1.015686440000000061e+02
1.777700000000000000e+04,-1.036360250000000036e+02
1.791200000000000000e+04,-1.012919780000000003e+02
1.797500000000000000e+04,-1.028018019999999950e+02
1.804700000000000000e+04,-1.040287479999999931e+02
1.821900000000000000e+04,-1.011161259999999942e+02
1.828300000000000000e+04,-1.021704179999999980e+02
1.836500000000000000e+04,-1.013575510000000008e+02
1.850800000000000000e+04,-1.038751270000000062e+02
1.857100000000000000e+04,-1.043777419999999978e+02
1.863700000000000000e+04,-1.043975870000000015e+02
1.870000000000000000e+04,-1.004160540000000026e+02
