timesteps,rewards
5.400000000000000000e+01,-1.053644780000000054e+02
1.370000000000000000e+02,-9.912899899999999320e+01
1.737000000000000000e+03,-9.705691500000000360e+01
1.801000000000000000e+03,-9.981717899999999588e+01
1.907000000000000000e+03,-9.958064099999999996e+01
1.978000000000000000e+03,-1.129380440000000050e+02
3.578000000000000000e+03,-7.698396700000000692e+01
3.652000000000000000e+03,-1.195640350000000041e+02
3.764000000000000000e+03,-1.249356420000000014e+02
3.831000000000000000e+03,-1.019067840000000018e+02
3.912000000000000000e+03,-1.171470659999999953e+02
3.980000000000000000e+03,-1.041962099999999936e+02
4.097000000000000000e+03,-1.200680739999999957e+02
4.192000000000000000e+03,-1.055965869999999995e+02
4.268000000000000000e+03,-1.046287590000000023e+02
4.339000000000000000e+03,-9.711055600000000254e+01
4.441000000000000000e+03,-1.010746129999999994e+02
4.498000000000000000e+03,-1.137104269999999957e+02
4.591000000000000000e+03,-1.006608339999999941e+02
6.191000000000000000e+03,-9.047728499999999485e+01
6.277000000000000000e+03,-1.003522260000000017e+02
7.877000000000000000e+03,-8.362180100000000493e+01
9.477000000000000000e+03,-9.364640400000000398e+01
9.590000000000000000e+03,-1.167984610000000032e+02
9.696000000000000000e+03,-1.048152099999999933e+02
9.776000000000000000e+03,-1.171693269999999956e+02
9.902000000000000000e+03,-1.276464210000000037e+02
9.953000000000000000e+03,-1.064314449999999965e+02
1.008500000000000000e+04,-1.156722950000000054e+02
1.012700000000000000e+04,-1.240457250000000045e+02
1.016900000000000000e+04,-1.235917840000000041e+02
1.021500000000000000e+04,-1.182950850000000003e+02
1.025700000000000000e+04,-1.231340749999999957e+02
1.033800000000000000e+04,-1.255745200000000068e+02
1.067300000000000000e+04,-1.266111230000000063e+02
1.227300000000000000e+04,-1.036032560000000018e+02
1.320400000000000000e+04,-1.877885379999999884e+02
1.336600000000000000e+04,-1.154972130000000021e+02
1.350200000000000000e+04,-1.329615269999999896e+02
1.361800000000000000e+04,-1.300755809999999997e+02
1.366200000000000000e+04,-1.232383439999999979e+02
1.383300000000000000e+04,-1.244237559999999974e+02
1.426300000000000000e+04,-1.525067319999999995e+02
1.435300000000000000e+04,-1.236394920000000042e+02
1.440300000000000000e+04,-1.217426030000000026e+02
1.446200000000000000e+04,-1.159187799999999982e+02
1.450800000000000000e+04,-1.130770930000000050e+02
1.455300000000000000e+04,-1.127064830000000057e+02
1.461200000000000000e+04,-1.163053349999999995e+02
1.470400000000000000e+04,-1.274401749999999964e+02
1.479600000000000000e+04,-1.274996280000000013e+02
1.484800000000000000e+04,-1.138092520000000007e+02
1.491500000000000000e+04,-1.163140230000000059e+02
1.498500000000000000e+04,-1.184351379999999949e+02
1.507100000000000000e+04,-1.176650929999999988e+02
1.667100000000000000e+04,-1.087685890000000057e+02
1.675200000000000000e+04,-1.205129500000000036e+02
1.835200000000000000e+04,-9.570303499999999985e+01
1.995200000000000000e+04,-9.399686400000000219e+01
2.010800000000000000e+04,-1.014350989999999939e+02
2.170800000000000000e+04,-8.745509800000000666e+01
2.176900000000000000e+04,-1.037413839999999965e+02
2.186700000000000000e+04,-1.238906920000000014e+02
2.195700000000000000e+04,-1.108704309999999964e+02
2.204000000000000000e+04,-1.071452720000000056e+02
2.364000000000000000e+04,-1.343292920000000095e+02
2.400100000000000000e+04,-1.499946559999999920e+02
2.560100000000000000e+04,-1.229588839999999976e+02
2.720100000000000000e+04,-1.091081130000000030e+02
2.880100000000000000e+04,-9.470285900000000368e+01
2.898100000000000000e+04,-1.358720580000000098e+02
3.148100000000000000e+04,-1.877117759999999862e+02
3.308100000000000000e+04,-1.234661810000000060e+02
3.468100000000000000e+04,-8.476236400000000515e+01
3.628100000000000000e+04,-5.679255100000000311e+01
3.636700000000000000e+04,-1.056465589999999963e+02
3.796700000000000000e+04,-6.545755599999999674e+01
3.956700000000000000e+04,-8.284852899999999920e+01
4.160000000000000000e+04,-7.259414200000000505e+01
4.320000000000000000e+04,-6.261294600000000088e+01
4.406700000000000000e+04,-1.743309250000000077e+02
4.566700000000000000e+04,-4.915375600000000134e+01
4.726700000000000000e+04,-5.297821700000000078e+01
4.886700000000000000e+04,-5.778283600000000320e+01
5.160000000000000000e+04,-6.058180399999999821e+01
5.320000000000000000e+04,-2.937076499999999868e+01
5.480000000000000000e+04,-2.437025799999999975e+01
5.640000000000000000e+04,-4.043381200000000320e+01
5.800000000000000000e+04,-4.608943200000000218e+01
5.960000000000000000e+04,9.778800999999999632e+00
6.160000000000000000e+04,-3.679063599999999923e+01
6.320000000000000000e+04,-1.919831599999999838e+01
6.480000000000000000e+04,-2.038441200000000109e+01
6.640000000000000000e+04,-3.433568700000000007e+01
6.800000000000000000e+04,-3.876635399999999976e+01
6.960000000000000000e+04,-5.908719099999999713e+01
7.160000000000000000e+04,-4.826282599999999690e+01
7.320000000000000000e+04,-7.968560000000000088e-01
7.480000000000000000e+04,1.528640999999999917e+00
7.640000000000000000e+04,4.271743999999999986e+00
7.800000000000000000e+04,1.926986899999999991e+01
7.960000000000000000e+04,9.962087999999999610e+00
8.160000000000000000e+04,8.990956000000000614e+00
8.320000000000000000e+04,-5.403914999999999580e+00
8.480000000000000000e+04,-4.012237999999999971e+01
8.640000000000000000e+04,-1.865204500000000110e+01
8.800000000000000000e+04,-5.490485999999999756e+00
8.805200000000000000e+04,-1.144434729999999973e+02
8.965200000000000000e+04,-4.070887900000000315e+01
9.160000000000000000e+04,-2.634868200000000016e+01
9.320000000000000000e+04,-2.890710400000000035e+01
9.332400000000000000e+04,-1.015566919999999982e+02
9.346000000000000000e+04,-1.063311429999999973e+02
9.357000000000000000e+04,-1.034780540000000002e+02
9.517000000000000000e+04,-2.584601299999999924e+01
9.677000000000000000e+04,-1.120550899999999928e+01
9.837000000000000000e+04,-3.754180999999999990e+00
9.997000000000000000e+04,-2.636722999999999928e+01
1.016000000000000000e+05,-3.055441300000000027e+01
1.032000000000000000e+05,-3.491326300000000060e+01
1.048000000000000000e+05,-2.775392899999999941e+01
1.048640000000000000e+05,-1.144538150000000059e+02
1.049240000000000000e+05,-1.135076059999999956e+02
1.049790000000000000e+05,-1.122776070000000033e+02
1.050840000000000000e+05,-1.157468719999999962e+02
1.051250000000000000e+05,-1.135922429999999963e+02
1.067250000000000000e+05,-3.487001999999999668e+01
1.083250000000000000e+05,-2.058630399999999838e+01
1.099250000000000000e+05,5.596579999999999888e-01
1.116000000000000000e+05,-1.603526899999999955e+01
