Wall time,Step,Value
1733797323.9178972,800,-1078.5546875
1733797324.0487506,1600,-1114.4410400390625
1733797324.1599634,2400,-1264.0767822265625
1733797324.2711382,3200,-1273.3282470703125
1733797324.3860521,4000,-1234.3243408203125
1733797324.4969132,4800,-1214.500732421875
1733797324.641043,5600,-1218.0194091796875
1733797324.7977495,6400,-1214.5958251953125
1733797324.938311,7200,-1207.5904541015625
1733797325.0608616,8000,-1224.046142578125
1733797325.1995552,8800,-1250.641357421875
1733797325.3373733,9600,-1239.0697021484375
1733797328.1669338,10400,-1252.193115234375
1733797334.8017986,11200,-1272.1768798828125
1733797342.6448922,12000,-1277.0296630859375
1733797350.8710659,12800,-1283.450439453125
1733797357.2226727,13600,-1243.503662109375
1733797363.2778966,14400,-1184.5751953125
1733797369.9405515,15200,-1132.7132568359375
1733797377.2081811,16000,-1084.96875
1733797384.1565814,16800,-1038.0360107421875
1733797392.029151,17600,-1000.6365966796875
1733797399.7532277,18400,-962.6234130859375
1733797406.2326727,19200,-929.0313720703125
1733797412.2122676,20000,-896.8734741210938
