timesteps,rewards
2.000000000000000000e+02,-8.709900800000000345e+02
4.000000000000000000e+02,-9.697115589999999656e+02
6.000000000000000000e+02,-1.188673680000000104e+03
8.000000000000000000e+02,-1.284843397000000095e+03
1.000000000000000000e+03,-1.278523167999999941e+03
1.200000000000000000e+03,-1.071435915000000023e+03
1.400000000000000000e+03,-1.172719618000000082e+03
1.600000000000000000e+03,-1.078631272999999965e+03
1.800000000000000000e+03,-1.833129865000000109e+03
2.000000000000000000e+03,-1.749304671000000099e+03
2.200000000000000000e+03,-9.136012019999999438e+02
2.400000000000000000e+03,-1.757357259999999997e+03
2.600000000000000000e+03,-1.170787904999999910e+03
2.800000000000000000e+03,-1.604807724999999891e+03
3.000000000000000000e+03,-1.571966065999999955e+03
3.200000000000000000e+03,-8.567694370000000390e+02
3.400000000000000000e+03,-1.116504322000000002e+03
3.600000000000000000e+03,-1.320844299000000092e+03
3.800000000000000000e+03,-1.143330758999999944e+03
4.000000000000000000e+03,-7.325548649999999498e+02
4.200000000000000000e+03,-1.575436001999999917e+03
4.400000000000000000e+03,-1.233407805000000053e+03
4.600000000000000000e+03,-8.858976139999999759e+02
4.800000000000000000e+03,-7.667883890000000520e+02
5.000000000000000000e+03,-1.455137122999999974e+03
5.200000000000000000e+03,-1.322660470999999916e+03
5.400000000000000000e+03,-1.311622384000000011e+03
5.600000000000000000e+03,-8.671065029999999751e+02
5.800000000000000000e+03,-9.069023250000000189e+02
6.000000000000000000e+03,-1.275662681999999904e+03
6.200000000000000000e+03,-9.616795630000000301e+02
6.400000000000000000e+03,-1.618280103000000054e+03
6.600000000000000000e+03,-1.595002741999999898e+03
6.800000000000000000e+03,-8.615335959999999886e+02
7.000000000000000000e+03,-1.275779393999999911e+03
7.200000000000000000e+03,-8.738725170000000162e+02
7.400000000000000000e+03,-1.172478323000000046e+03
7.600000000000000000e+03,-1.720143706999999949e+03
7.800000000000000000e+03,-8.701921479999999747e+02
8.000000000000000000e+03,-1.725776123000000098e+03
8.200000000000000000e+03,-1.705079758999999967e+03
8.400000000000000000e+03,-1.754823564999999917e+03
8.600000000000000000e+03,-1.293953447000000097e+03
8.800000000000000000e+03,-1.312518422999999984e+03
9.000000000000000000e+03,-1.172092200999999932e+03
9.200000000000000000e+03,-1.321635766000000103e+03
9.400000000000000000e+03,-9.675164150000000518e+02
9.600000000000000000e+03,-9.858772960000000012e+02
9.800000000000000000e+03,-1.096651575000000093e+03
1.000000000000000000e+04,-1.372279271000000108e+03
1.020000000000000000e+04,-1.573520514999999932e+03
1.040000000000000000e+04,-1.596245026999999936e+03
1.060000000000000000e+04,-1.573487683999999945e+03
1.080000000000000000e+04,-1.537561601000000110e+03
1.100000000000000000e+04,-1.488385510999999951e+03
1.120000000000000000e+04,-1.528433491999999887e+03
1.140000000000000000e+04,-1.493160861000000068e+03
1.160000000000000000e+04,-1.216761903000000075e+03
1.180000000000000000e+04,-1.511401810000000069e+03
1.200000000000000000e+04,-1.158545278999999937e+03
1.220000000000000000e+04,-1.178209988999999950e+03
1.240000000000000000e+04,-1.523735451000000012e+03
1.260000000000000000e+04,-1.517496781999999939e+03
1.280000000000000000e+04,-1.299611677000000100e+03
1.300000000000000000e+04,-9.013499030000000403e+02
1.320000000000000000e+04,-8.033280009999999720e+02
1.340000000000000000e+04,-2.746939649999999915e+02
1.360000000000000000e+04,-4.380417059999999765e+02
1.380000000000000000e+04,-4.496548210000000267e+02
1.400000000000000000e+04,-1.371750539999999887e+02
1.420000000000000000e+04,-6.548292000000000002e+00
1.440000000000000000e+04,-1.377900449999999921e+02
1.460000000000000000e+04,-2.587132209999999759e+02
1.480000000000000000e+04,-2.726484479999999735e+02
1.500000000000000000e+04,-1.321793749999999932e+02
1.520000000000000000e+04,-1.332548620000000028e+02
1.540000000000000000e+04,-3.871539999999999981e+00
1.560000000000000000e+04,-3.386830360000000155e+02
1.580000000000000000e+04,-1.270269239999999940e+02
1.600000000000000000e+04,-2.417048509999999908e+02
1.620000000000000000e+04,-4.882728000000000179e+00
1.640000000000000000e+04,-1.335993280000000141e+02
1.660000000000000000e+04,-1.301234540000000095e+02
1.680000000000000000e+04,-1.289240570000000048e+02
1.700000000000000000e+04,-3.781139109999999732e+02
1.720000000000000000e+04,-4.796403999999999890e+00
1.740000000000000000e+04,-1.292118519999999933e+02
1.760000000000000000e+04,-3.488725220000000036e+02
1.780000000000000000e+04,-2.587643110000000206e+02
1.800000000000000000e+04,-1.245477060000000051e+02
1.820000000000000000e+04,-1.213070459999999997e+02
1.840000000000000000e+04,-7.121750000000000025e-01
1.860000000000000000e+04,-1.283413060000000030e+02
1.880000000000000000e+04,-2.432006849999999929e+02
1.900000000000000000e+04,-1.272563750000000056e+02
1.920000000000000000e+04,-1.268593220000000059e+02
1.940000000000000000e+04,-2.434907090000000096e+02
1.960000000000000000e+04,-1.262126279999999952e+02
1.980000000000000000e+04,-1.425078999999999985e+00
2.000000000000000000e+04,-1.292078219999999931e+02
