timesteps,rewards
2.000000000000000000e+02,-8.653655459999999948e+02
4.000000000000000000e+02,-8.585356520000000273e+02
6.000000000000000000e+02,-1.203996110999999928e+03
8.000000000000000000e+02,-1.828186410999999907e+03
1.000000000000000000e+03,-1.369344380000000001e+03
1.200000000000000000e+03,-1.811334395000000086e+03
1.400000000000000000e+03,-8.760730770000000120e+02
1.600000000000000000e+03,-9.003308299999999917e+02
1.800000000000000000e+03,-1.277070132999999942e+03
2.000000000000000000e+03,-1.148936834999999974e+03
2.200000000000000000e+03,-8.806155649999999468e+02
2.400000000000000000e+03,-1.630742815999999948e+03
2.600000000000000000e+03,-1.589307178999999905e+03
2.800000000000000000e+03,-1.390744085000000041e+03
3.000000000000000000e+03,-1.539809277999999949e+03
3.200000000000000000e+03,-1.441933870999999954e+03
3.400000000000000000e+03,-8.701948079999999663e+02
3.600000000000000000e+03,-1.506664774999999963e+03
3.800000000000000000e+03,-9.772650680000000420e+02
4.000000000000000000e+03,-1.087728211000000101e+03
4.200000000000000000e+03,-1.734233474999999999e+03
4.400000000000000000e+03,-1.390479381999999987e+03
4.600000000000000000e+03,-1.329181548000000021e+03
4.800000000000000000e+03,-8.891786309999999958e+02
5.000000000000000000e+03,-9.524144079999999803e+02
5.200000000000000000e+03,-9.706358440000000201e+02
5.400000000000000000e+03,-8.940881379999999581e+02
5.600000000000000000e+03,-1.690041478000000097e+03
5.800000000000000000e+03,-8.767874829999999520e+02
6.000000000000000000e+03,-7.434884660000000167e+02
6.200000000000000000e+03,-1.344020641999999953e+03
6.400000000000000000e+03,-8.658841489999999794e+02
6.600000000000000000e+03,-1.277876974000000018e+03
6.800000000000000000e+03,-8.171654680000000326e+02
7.000000000000000000e+03,-1.502980099999999993e+03
7.200000000000000000e+03,-8.980437789999999723e+02
7.400000000000000000e+03,-1.506478949000000057e+03
7.600000000000000000e+03,-1.767356187000000091e+03
7.800000000000000000e+03,-1.268745124999999916e+03
8.000000000000000000e+03,-1.328013717999999926e+03
8.200000000000000000e+03,-9.412834119999999984e+02
8.400000000000000000e+03,-1.333767094000000043e+03
8.600000000000000000e+03,-1.596880488999999898e+03
8.800000000000000000e+03,-1.378253797000000077e+03
9.000000000000000000e+03,-8.680988049999999703e+02
9.200000000000000000e+03,-1.368829653999999891e+03
9.400000000000000000e+03,-1.687066937999999936e+03
9.600000000000000000e+03,-1.371792335999999978e+03
9.800000000000000000e+03,-9.238497019999999793e+02
1.000000000000000000e+04,-1.193199759000000086e+03
1.020000000000000000e+04,-1.559840529999999944e+03
1.040000000000000000e+04,-1.841679658999999901e+03
1.060000000000000000e+04,-1.660280391999999893e+03
1.080000000000000000e+04,-1.447073157000000037e+03
1.100000000000000000e+04,-1.501866790999999921e+03
1.120000000000000000e+04,-1.498292308999999932e+03
1.140000000000000000e+04,-1.354435476999999992e+03
1.160000000000000000e+04,-1.349199147999999923e+03
1.180000000000000000e+04,-1.519186193999999887e+03
1.200000000000000000e+04,-1.519215580000000045e+03
1.220000000000000000e+04,-1.228143540999999914e+03
1.240000000000000000e+04,-1.201966408000000001e+03
1.260000000000000000e+04,-1.514225169000000051e+03
1.280000000000000000e+04,-1.040543032999999923e+03
1.300000000000000000e+04,-1.068788886999999932e+03
1.320000000000000000e+04,-1.520672910000000002e+03
1.340000000000000000e+04,-1.518520592999999963e+03
1.360000000000000000e+04,-5.340150370000000066e+02
1.380000000000000000e+04,-4.169742039999999861e+02
1.400000000000000000e+04,-7.177212180000000217e+02
1.420000000000000000e+04,-1.516267708999999968e+03
1.440000000000000000e+04,-2.867142999999999997e+00
1.460000000000000000e+04,-4.209784629999999765e+02
1.480000000000000000e+04,-1.273102530000000030e+02
1.500000000000000000e+04,-1.244141419999999982e+02
1.520000000000000000e+04,-1.299212220000000002e+02
1.540000000000000000e+04,-1.284285559999999862e+02
1.560000000000000000e+04,-8.162264999999999660e+00
1.580000000000000000e+04,-1.229492300000000000e+02
1.600000000000000000e+04,-2.605842779999999834e+02
1.620000000000000000e+04,-1.233442299999999960e+02
1.640000000000000000e+04,-1.268545730000000020e+02
1.660000000000000000e+04,-1.310054149999999993e+02
1.680000000000000000e+04,-1.171887940000000015e+02
1.700000000000000000e+04,-4.783399999999999874e-01
1.720000000000000000e+04,-1.259600630000000052e+02
1.740000000000000000e+04,-3.587124539999999797e+02
1.760000000000000000e+04,-1.152054090000000031e+02
1.780000000000000000e+04,-2.383900920000000099e+02
1.800000000000000000e+04,-4.232219999999999871e-01
1.820000000000000000e+04,-1.266338269999999966e+02
1.840000000000000000e+04,-1.292868839999999864e+02
1.860000000000000000e+04,-1.219249580000000037e+02
1.880000000000000000e+04,-1.159527549999999962e+02
1.900000000000000000e+04,-1.253765080000000012e+02
1.920000000000000000e+04,-1.245563690000000037e+02
1.940000000000000000e+04,-2.432541139999999871e+02
1.960000000000000000e+04,-1.167293119999999931e+02
1.980000000000000000e+04,-1.257421640000000025e+02
2.000000000000000000e+04,-1.226342719999999957e+02
