timesteps,rewards
1.600000000000000000e+03,-1.328819075999999995e+03
3.200000000000000000e+03,-1.435197963999999956e+03
4.800000000000000000e+03,-1.557026591999999937e+03
6.400000000000000000e+03,-1.459292891000000054e+03
8.000000000000000000e+03,-1.266128478999999970e+03
9.600000000000000000e+03,-1.060102429000000029e+03
1.120000000000000000e+04,-8.633687320000000227e+02
1.280000000000000000e+04,-1.454246955999999955e+03
1.440000000000000000e+04,-1.374997689999999920e+03
1.600000000000000000e+04,-1.057504860999999892e+03
1.760000000000000000e+04,-1.377228190000000041e+03
1.920000000000000000e+04,-1.396319443000000092e+03
2.080000000000000000e+04,-1.174478409999999940e+03
2.240000000000000000e+04,-1.400762983999999960e+03
2.400000000000000000e+04,-1.196238372999999910e+03
2.560000000000000000e+04,-1.206808837999999923e+03
2.720000000000000000e+04,-1.449554515999999921e+03
2.880000000000000000e+04,-1.074032774000000018e+03
3.040000000000000000e+04,-1.212614469000000099e+03
3.200000000000000000e+04,-1.144045076000000108e+03
3.360000000000000000e+04,-1.244604205999999976e+03
3.520000000000000000e+04,-1.158045978000000105e+03
3.680000000000000000e+04,-1.375396107000000029e+03
3.840000000000000000e+04,-1.463474161999999978e+03
4.000000000000000000e+04,-1.108746605999999929e+03
4.160000000000000000e+04,-1.243691917999999987e+03
4.320000000000000000e+04,-1.430025110000000041e+03
4.480000000000000000e+04,-1.126063268999999991e+03
4.640000000000000000e+04,-1.198394663000000037e+03
4.800000000000000000e+04,-5.110057990000000245e+02
4.960000000000000000e+04,-6.882553880000000390e+02
5.120000000000000000e+04,-1.236598844000000099e+03
5.280000000000000000e+04,-1.521563576000000012e+03
5.440000000000000000e+04,-1.505418877999999950e+03
5.600000000000000000e+04,-1.515010841999999911e+03
5.760000000000000000e+04,-1.321720111999999972e+03
5.920000000000000000e+04,-1.495611941999999999e+03
6.080000000000000000e+04,-1.490914901000000100e+03
6.240000000000000000e+04,-1.255902712999999949e+03
6.400000000000000000e+04,-1.491842493999999988e+03
6.560000000000000000e+04,-1.533277086000000054e+03
6.720000000000000000e+04,-8.093280270000000201e+02
6.880000000000000000e+04,-1.391230119000000059e+03
7.040000000000000000e+04,-8.533354299999999739e+02
7.200000000000000000e+04,-1.523456210000000056e+03
7.360000000000000000e+04,-8.835452539999999999e+02
7.520000000000000000e+04,-1.100695952000000034e+03
7.680000000000000000e+04,-1.509048097000000098e+03
7.840000000000000000e+04,-8.172107150000000502e+02
8.000000000000000000e+04,-6.993326660000000174e+02
8.160000000000000000e+04,-1.493800645000000031e+03
8.320000000000000000e+04,-1.492820609000000104e+03
8.480000000000000000e+04,-1.163783398999999918e+03
8.640000000000000000e+04,-9.548871649999999818e+02
8.800000000000000000e+04,-1.382813128999999890e+03
8.960000000000000000e+04,-1.084126393000000007e+03
9.120000000000000000e+04,-1.208092785999999933e+03
9.280000000000000000e+04,-1.231815722999999934e+03
9.440000000000000000e+04,-9.305707640000000538e+02
9.600000000000000000e+04,-8.263812309999999570e+02
9.760000000000000000e+04,-1.019651224999999954e+03
9.920000000000000000e+04,-9.803237020000000257e+02
1.008000000000000000e+05,-1.043940186999999924e+03
1.024000000000000000e+05,-8.064403449999999793e+02
1.040000000000000000e+05,-1.091528855999999905e+03
1.056000000000000000e+05,-9.663867070000000012e+02
1.072000000000000000e+05,-7.806659110000000510e+02
1.088000000000000000e+05,-1.493242357000000084e+03
1.104000000000000000e+05,-9.892730810000000474e+02
1.120000000000000000e+05,-9.917185349999999744e+02
1.136000000000000000e+05,-6.669049760000000333e+02
1.152000000000000000e+05,-8.330647430000000213e+02
1.168000000000000000e+05,-9.723777450000000044e+02
1.184000000000000000e+05,-6.707437139999999545e+02
1.200000000000000000e+05,-5.363397949999999810e+02
1.216000000000000000e+05,-1.090441788999999972e+03
1.232000000000000000e+05,-1.155028107999999975e+03
1.248000000000000000e+05,-1.491447730000000092e+03
1.264000000000000000e+05,-1.225048741999999947e+03
1.280000000000000000e+05,-1.526346215999999913e+03
1.296000000000000000e+05,-1.339355917000000090e+03
1.312000000000000000e+05,-1.041615088999999898e+03
1.328000000000000000e+05,-5.501891010000000506e+02
1.344000000000000000e+05,-9.118221999999999383e+00
1.360000000000000000e+05,-1.531825166000000081e+03
1.376000000000000000e+05,-1.309295761999999968e+03
1.392000000000000000e+05,-1.131454801999999972e+03
1.408000000000000000e+05,-5.322678389999999808e+02
1.424000000000000000e+05,-1.498195825999999897e+03
1.440000000000000000e+05,-1.396863106999999900e+03
1.456000000000000000e+05,-1.199655510999999933e+03
1.472000000000000000e+05,-9.927760540000000447e+02
1.488000000000000000e+05,-1.344108273000000054e+03
1.504000000000000000e+05,-8.588646049999999832e+02
1.520000000000000000e+05,-1.114879100999999991e+03
1.536000000000000000e+05,-1.138977525000000014e+03
1.552000000000000000e+05,-1.091077839000000040e+03
1.568000000000000000e+05,-8.229528960000000097e+02
1.584000000000000000e+05,-1.269506077999999889e+03
1.600000000000000000e+05,-9.263721420000000535e+02
1.616000000000000000e+05,-6.828858729999999468e+02
1.632000000000000000e+05,-7.953577169999999796e+02
1.648000000000000000e+05,-1.080452268999999887e+03
1.664000000000000000e+05,-9.680315120000000206e+02
1.680000000000000000e+05,-1.389875056000000086e+03
1.696000000000000000e+05,-1.155494081999999935e+03
1.712000000000000000e+05,-7.142765930000000481e+02
1.728000000000000000e+05,-1.225633129000000054e+03
1.744000000000000000e+05,-1.453916146000000026e+03
1.760000000000000000e+05,-6.698311909999999898e+02
1.776000000000000000e+05,-8.047226960000000417e+02
1.792000000000000000e+05,-9.816827570000000378e+02
1.808000000000000000e+05,-1.215207570999999916e+03
1.824000000000000000e+05,-7.781361699999999928e+02
1.840000000000000000e+05,-6.765713530000000446e+02
1.856000000000000000e+05,-1.324313538999999992e+03
1.872000000000000000e+05,-9.010868560000000116e+02
1.888000000000000000e+05,-9.551020200000000386e+02
1.904000000000000000e+05,-9.768948370000000523e+02
1.920000000000000000e+05,-1.049078839999999900e+03
1.936000000000000000e+05,-1.186590789999999970e+03
1.952000000000000000e+05,-2.813319070000000011e+02
1.968000000000000000e+05,-1.239920757999999978e+03
1.984000000000000000e+05,-9.857150080000000116e+02
2.000000000000000000e+05,-4.800300990000000070e+02
2.016000000000000000e+05,-1.490792599999999993e+03
2.032000000000000000e+05,-9.325323859999999740e+02
2.048000000000000000e+05,-3.410022000000000109e+00
2.064000000000000000e+05,-1.065527618999999959e+03
2.080000000000000000e+05,-2.742236980000000131e+02
2.096000000000000000e+05,-1.313720262000000048e+03
2.112000000000000000e+05,-6.718828019999999697e+02
2.128000000000000000e+05,-1.487259082999999919e+03
2.144000000000000000e+05,-2.742771399999999744e+02
2.160000000000000000e+05,-8.616558810000000221e+02
2.176000000000000000e+05,-8.159523970000000190e+02
2.192000000000000000e+05,-1.257455261999999948e+03
2.208000000000000000e+05,-7.337092169999999669e+02
2.224000000000000000e+05,-7.819211569999999938e+02
2.240000000000000000e+05,-9.737343069999999443e+02
2.256000000000000000e+05,-1.236310300000000062e+01
2.272000000000000000e+05,-7.994199459999999817e+02
2.288000000000000000e+05,-9.322624270000000024e+02
2.304000000000000000e+05,-9.561151810000000069e+02
2.320000000000000000e+05,-5.399977089999999862e+02
2.336000000000000000e+05,-1.232347246000000041e+03
2.352000000000000000e+05,-4.063934060000000272e+02
2.368000000000000000e+05,-6.626658889999999928e+02
2.384000000000000000e+05,-1.331894318000000112e+03
2.400000000000000000e+05,-8.319215759999999591e+02
2.416000000000000000e+05,-1.181676294000000098e+03
2.432000000000000000e+05,-8.981925129999999626e+02
2.448000000000000000e+05,-9.503335399999999709e+02
2.464000000000000000e+05,-7.279874680000000353e+02
2.480000000000000000e+05,-1.125848113000000012e+03
2.496000000000000000e+05,-1.215248485999999957e+03
2.512000000000000000e+05,-9.527745820000000094e+02
2.528000000000000000e+05,-5.357597600000000284e+02
2.544000000000000000e+05,-5.880696729999999661e+02
2.560000000000000000e+05,-6.990985970000000407e+02
2.576000000000000000e+05,-2.811791900000000055e+01
2.592000000000000000e+05,-5.756680029999999988e+02
2.608000000000000000e+05,-4.147992639999999938e+02
2.624000000000000000e+05,-8.525932139999999890e+02
2.640000000000000000e+05,-1.140729968999999983e+03
2.656000000000000000e+05,-2.700611079999999902e+02
2.672000000000000000e+05,-4.275761660000000006e+02
2.688000000000000000e+05,-8.396599069999999756e+02
2.704000000000000000e+05,-2.725131440000000111e+02
2.720000000000000000e+05,-5.148380110000000514e+02
2.736000000000000000e+05,-3.787479999999999958e+00
2.752000000000000000e+05,-2.645932419999999752e+02
2.768000000000000000e+05,-5.564170920000000251e+02
2.784000000000000000e+05,-2.764346499999999764e+02
2.800000000000000000e+05,-5.432743950000000268e+02
2.816000000000000000e+05,-2.667409400000000232e+02
2.832000000000000000e+05,-4.099678860000000213e+02
2.848000000000000000e+05,-2.679212220000000002e+02
2.864000000000000000e+05,-1.355994790000000023e+02
2.880000000000000000e+05,-5.467529299999999921e+02
2.896000000000000000e+05,-1.322266380000000083e+02
2.912000000000000000e+05,-3.878379540000000247e+02
2.928000000000000000e+05,-1.350139430000000118e+02
2.944000000000000000e+05,-5.904351669999999785e+02
2.960000000000000000e+05,-2.613775289999999814e+02
2.976000000000000000e+05,-1.315413010000000043e+02
2.992000000000000000e+05,-9.683069239999999809e+02
3.008000000000000000e+05,-5.838980040000000145e+02
3.024000000000000000e+05,-2.665704460000000040e+02
3.040000000000000000e+05,-4.401887510000000248e+02
3.056000000000000000e+05,-7.477131719999999859e+02
3.072000000000000000e+05,-1.303763240000000110e+02
3.088000000000000000e+05,-2.643053840000000037e+02
3.104000000000000000e+05,-2.667651860000000283e+02
3.120000000000000000e+05,-2.542498799999999903e+02
3.136000000000000000e+05,-3.918693489999999997e+02
3.152000000000000000e+05,-1.817153999999999936e+00
3.168000000000000000e+05,-4.265143649999999980e+02
3.184000000000000000e+05,-3.012749170000000163e+02
3.200000000000000000e+05,-1.302653369999999882e+02
3.216000000000000000e+05,-1.306489280000000122e+02
3.232000000000000000e+05,-3.923620599999999854e+02
3.248000000000000000e+05,-1.340366150000000118e+02
3.264000000000000000e+05,-2.643450250000000210e+02
3.280000000000000000e+05,-1.303798600000000079e+02
3.296000000000000000e+05,-2.662694999999999812e+00
3.312000000000000000e+05,-4.992576569999999947e+02
3.328000000000000000e+05,-4.213132059999999797e+02
3.344000000000000000e+05,-1.312684399999999982e+02
3.360000000000000000e+05,-1.121645999999999921e+00
3.376000000000000000e+05,-2.616736910000000194e+02
3.392000000000000000e+05,-1.309479399999999885e+02
3.408000000000000000e+05,-3.885487979999999766e+02
3.424000000000000000e+05,-5.299538000000000011e+02
3.440000000000000000e+05,-3.965129900000000021e+02
3.456000000000000000e+05,-2.666515529999999785e+02
3.472000000000000000e+05,-2.606778320000000235e+02
3.488000000000000000e+05,-1.275100620000000049e+02
