timesteps,rewards
2.864000000000000000e+03,-1.057473889999999983e+02
3.776000000000000000e+03,-1.047528109999999941e+02
2.937600000000000000e+04,-5.213483200000000295e+01
3.009600000000000000e+04,-1.068615960000000058e+02
5.569600000000000000e+04,-7.393004000000000531e+01
5.676800000000000000e+04,-1.018849500000000035e+02
5.758400000000000000e+04,-1.039071229999999986e+02
5.851200000000000000e+04,-1.021287159999999972e+02
6.057600000000000000e+04,-1.030080540000000013e+02
6.123200000000000000e+04,-1.078788399999999967e+02
6.238400000000000000e+04,-1.046012549999999948e+02
6.366400000000000000e+04,-1.027680679999999995e+02
6.449600000000000000e+04,-1.053821400000000068e+02
6.528000000000000000e+04,-1.039827049999999957e+02
9.088000000000000000e+04,-6.864242299999999375e+01
9.220800000000000000e+04,-1.122565369999999945e+02
9.332800000000000000e+04,-1.130901080000000007e+02
1.189280000000000000e+05,-1.048376000000000019e+01
1.445280000000000000e+05,6.780680800000000374e+01
1.560320000000000000e+05,-6.488159500000000435e+01
1.575840000000000000e+05,-1.236145879999999977e+02
