timesteps,rewards
1.600000000000000000e+03,-1.312325833999999986e+03
3.200000000000000000e+03,-1.561106731000000082e+03
4.800000000000000000e+03,-1.226133350000000064e+03
6.400000000000000000e+03,-1.350181031999999959e+03
8.000000000000000000e+03,-1.580029629000000114e+03
9.600000000000000000e+03,-8.795963619999999992e+02
1.120000000000000000e+04,-1.333143428000000085e+03
1.280000000000000000e+04,-7.909749170000000049e+02
1.440000000000000000e+04,-1.411269191000000092e+03
1.600000000000000000e+04,-1.500605430999999953e+03
1.760000000000000000e+04,-1.508301468000000114e+03
1.920000000000000000e+04,-1.082232788999999912e+03
2.080000000000000000e+04,-1.519491383999999925e+03
2.240000000000000000e+04,-1.496262195000000020e+03
2.400000000000000000e+04,-1.410595305999999937e+03
2.560000000000000000e+04,-1.227701381000000083e+03
2.720000000000000000e+04,-8.048396360000000413e+02
2.880000000000000000e+04,-1.547211630999999898e+03
3.040000000000000000e+04,-1.018842787000000044e+03
3.200000000000000000e+04,-9.954055240000000140e+02
3.360000000000000000e+04,-9.500363859999999931e+02
3.520000000000000000e+04,-4.378531960000000254e+02
3.680000000000000000e+04,-8.098766030000000455e+02
3.840000000000000000e+04,-6.803816299999999728e+02
4.000000000000000000e+04,-5.180921059999999443e+02
4.160000000000000000e+04,-9.772006099999999833e+02
4.320000000000000000e+04,-9.553406439999999975e+02
4.480000000000000000e+04,-1.335009227999999894e+03
4.640000000000000000e+04,-8.365183510000000524e+02
4.800000000000000000e+04,-1.510900472000000036e+03
4.960000000000000000e+04,-4.388578489999999874e+02
5.120000000000000000e+04,-1.413402556000000004e+03
5.280000000000000000e+04,-1.219916105000000016e+03
5.440000000000000000e+04,-1.496020275000000083e+03
5.600000000000000000e+04,-1.498057450999999901e+03
5.760000000000000000e+04,-1.369455639000000019e+03
5.920000000000000000e+04,-1.163850511999999981e+03
6.080000000000000000e+04,-7.830095179999999573e+02
6.240000000000000000e+04,-1.510365295999999944e+03
6.400000000000000000e+04,-9.106693010000000186e+02
6.560000000000000000e+04,-7.281904120000000376e+02
6.720000000000000000e+04,-7.454701229999999441e+02
6.880000000000000000e+04,-8.191555339999999887e+02
7.040000000000000000e+04,-8.866212540000000217e+02
7.200000000000000000e+04,-1.484553094999999985e+03
7.360000000000000000e+04,-1.388650525000000016e+03
