timesteps,rewards
7.000000000000000000e+01,-1.206016520000000014e+02
1.670000000000000000e+03,-7.933242099999999652e+01
1.791000000000000000e+03,-1.195633399999999966e+02
1.866000000000000000e+03,-1.231312740000000048e+02
1.915000000000000000e+03,-1.032969200000000001e+02
1.995000000000000000e+03,-9.730723100000000159e+01
2.064000000000000000e+03,-1.127130899999999940e+02
3.664000000000000000e+03,-8.003273900000000651e+01
3.765000000000000000e+03,-1.156712899999999991e+02
3.806000000000000000e+03,-1.041131630000000001e+02
5.406000000000000000e+03,-8.553566899999999862e+01
7.006000000000000000e+03,-1.054677999999999969e+02
8.606000000000000000e+03,-7.726745499999999822e+01
8.755000000000000000e+03,-1.032951889999999935e+02
8.806000000000000000e+03,-1.145360160000000036e+02
8.879000000000000000e+03,-1.063776730000000015e+02
