timesteps,rewards
2.000000000000000000e+02,-1.370200246999999990e+03
4.000000000000000000e+02,-1.327348496000000068e+03
6.000000000000000000e+02,-1.335039273000000094e+03
8.000000000000000000e+02,-1.257982494999999972e+03
1.000000000000000000e+03,-1.570735392000000047e+03
1.200000000000000000e+03,-1.746597093000000086e+03
1.400000000000000000e+03,-1.440773359999999911e+03
1.600000000000000000e+03,-1.286270083000000113e+03
1.800000000000000000e+03,-1.051895015999999941e+03
2.000000000000000000e+03,-9.096797669999999698e+02
2.200000000000000000e+03,-8.750123710000000301e+02
2.400000000000000000e+03,-6.395764880000000403e+02
2.600000000000000000e+03,-3.963445659999999862e+02
2.800000000000000000e+03,-1.266838470000000001e+02
3.000000000000000000e+03,-3.925110159999999837e+02
3.200000000000000000e+03,-1.268170520000000039e+02
3.400000000000000000e+03,-6.652329409999999825e+02
3.600000000000000000e+03,-8.841277810000000272e+02
3.800000000000000000e+03,-2.354803210000000036e+02
4.000000000000000000e+03,-1.303065630000000112e+02
4.200000000000000000e+03,-2.406289830000000052e+02
4.400000000000000000e+03,-1.211979120000000023e+02
4.600000000000000000e+03,-2.473463749999999948e+02
4.800000000000000000e+03,-1.241254650000000055e+02
5.000000000000000000e+03,-2.483734000000000037e+02
5.200000000000000000e+03,-1.205369819999999947e+02
5.400000000000000000e+03,-1.220389459999999957e+02
5.600000000000000000e+03,-1.169113609999999994e+02
5.800000000000000000e+03,-1.241336660000000052e+02
6.000000000000000000e+03,-5.148690990000000056e+02
6.200000000000000000e+03,-1.287102859999999964e+02
6.400000000000000000e+03,-2.813814999999999955e+00
6.600000000000000000e+03,-1.213888758999999936e+03
6.800000000000000000e+03,-1.484975333000000091e+03
7.000000000000000000e+03,-1.185866670000000056e+02
7.200000000000000000e+03,-1.268747039999999942e+02
7.400000000000000000e+03,-1.854379000000000000e+00
7.600000000000000000e+03,-1.226293409999999966e+02
7.800000000000000000e+03,-1.152140200000000050e+02
8.000000000000000000e+03,-3.153385319999999865e+02
8.200000000000000000e+03,-1.226968629999999933e+02
8.400000000000000000e+03,-3.135946799999999826e+02
8.600000000000000000e+03,-1.184748050000000035e+02
8.800000000000000000e+03,-1.194060209999999955e+02
9.000000000000000000e+03,-1.219155300000000040e+02
9.200000000000000000e+03,-1.178485799999999983e+02
9.400000000000000000e+03,-1.190106470000000058e+02
9.600000000000000000e+03,-3.666641629999999736e+02
9.800000000000000000e+03,-1.253079780000000056e+02
1.000000000000000000e+04,-2.542487590000000068e+02
