timesteps,rewards
1.600000000000000000e+03,-7.585809399999999414e+01
1.654000000000000000e+03,-1.145033569999999941e+02
1.729000000000000000e+03,-1.001428070000000048e+02
3.329000000000000000e+03,-8.879699100000000556e+01
3.383000000000000000e+03,-1.136265640000000019e+02
4.983000000000000000e+03,-7.836781999999999471e+01
5.028000000000000000e+03,-1.075717939999999970e+02
5.118000000000000000e+03,-1.056368130000000036e+02
6.718000000000000000e+03,-7.902022499999999638e+01
6.760000000000000000e+03,-1.141536360000000059e+02
6.868000000000000000e+03,-9.976608699999999885e+01
8.468000000000000000e+03,-7.699998999999999683e+01
