timesteps,rewards
2.000000000000000000e+02,-1.785788193999999976e+03
4.000000000000000000e+02,-1.747463572000000113e+03
6.000000000000000000e+02,-1.073079547999999932e+03
8.000000000000000000e+02,-1.605768060999999989e+03
1.000000000000000000e+03,-9.758341470000000299e+02
1.200000000000000000e+03,-1.187009068000000070e+03
1.400000000000000000e+03,-1.182090660000000071e+03
1.600000000000000000e+03,-9.351217540000000099e+02
1.800000000000000000e+03,-8.716264439999999922e+02
2.000000000000000000e+03,-1.278197499999999991e+03
2.200000000000000000e+03,-1.302283848000000035e+03
2.400000000000000000e+03,-7.410190800000000309e+02
2.600000000000000000e+03,-1.307418484999999919e+03
2.800000000000000000e+03,-9.004550269999999728e+02
3.000000000000000000e+03,-1.644005572000000029e+03
3.200000000000000000e+03,-1.328016174000000092e+03
3.400000000000000000e+03,-1.503308579000000009e+03
3.600000000000000000e+03,-8.706320829999999660e+02
3.800000000000000000e+03,-9.779974369999999908e+02
4.000000000000000000e+03,-1.025953154000000040e+03
4.200000000000000000e+03,-9.884226210000000492e+02
4.400000000000000000e+03,-9.614803849999999557e+02
4.600000000000000000e+03,-8.339297420000000329e+02
4.800000000000000000e+03,-1.376754770000000008e+03
5.000000000000000000e+03,-9.059865969999999606e+02
5.200000000000000000e+03,-1.577060737999999901e+03
5.400000000000000000e+03,-1.575715525000000071e+03
5.600000000000000000e+03,-1.702487403999999970e+03
5.800000000000000000e+03,-8.570175020000000359e+02
6.000000000000000000e+03,-1.563617559999999912e+03
6.200000000000000000e+03,-1.303219732999999906e+03
6.400000000000000000e+03,-9.636155979999999772e+02
6.600000000000000000e+03,-1.495331008000000111e+03
6.800000000000000000e+03,-1.594277802999999949e+03
7.000000000000000000e+03,-1.479474026000000094e+03
7.200000000000000000e+03,-1.423534345000000030e+03
7.400000000000000000e+03,-1.067080703999999969e+03
7.600000000000000000e+03,-1.197474472000000105e+03
7.800000000000000000e+03,-1.424829707999999982e+03
8.000000000000000000e+03,-1.339500455999999986e+03
8.200000000000000000e+03,-9.881174499999999625e+02
8.400000000000000000e+03,-1.672686406000000034e+03
8.600000000000000000e+03,-1.110243987999999945e+03
8.800000000000000000e+03,-1.318429857999999967e+03
9.000000000000000000e+03,-8.684253350000000182e+02
9.200000000000000000e+03,-1.567167136000000028e+03
9.400000000000000000e+03,-7.570528450000000475e+02
9.600000000000000000e+03,-1.718733148999999912e+03
9.800000000000000000e+03,-1.493139408000000003e+03
1.000000000000000000e+04,-8.949421770000000151e+02
1.020000000000000000e+04,-1.603551478999999972e+03
1.040000000000000000e+04,-1.879493750999999975e+03
1.060000000000000000e+04,-1.629371053999999958e+03
1.080000000000000000e+04,-1.536673164999999926e+03
1.100000000000000000e+04,-1.421164993999999979e+03
1.120000000000000000e+04,-1.591271030000000110e+03
1.140000000000000000e+04,-1.384690657999999985e+03
1.160000000000000000e+04,-1.358149002000000110e+03
1.180000000000000000e+04,-1.519319880000000012e+03
1.200000000000000000e+04,-1.164679699000000028e+03
1.220000000000000000e+04,-1.125155643000000055e+03
1.240000000000000000e+04,-1.515632691999999906e+03
1.260000000000000000e+04,-1.278424162000000024e+03
1.280000000000000000e+04,-1.510914882999999918e+03
1.300000000000000000e+04,-9.189727020000000266e+02
1.320000000000000000e+04,-9.481492170000000215e+02
1.340000000000000000e+04,-7.953237870000000385e+02
1.360000000000000000e+04,-4.022991749999999911e+02
1.380000000000000000e+04,-5.233854450000000043e+02
1.400000000000000000e+04,-2.707787490000000048e+02
1.420000000000000000e+04,-2.760540030000000229e+02
1.440000000000000000e+04,-2.669899560000000065e+02
1.460000000000000000e+04,-2.578792930000000183e+02
1.480000000000000000e+04,-3.701848190000000045e+02
1.500000000000000000e+04,-1.330150099999999895e+02
1.520000000000000000e+04,-2.533217050000000086e+02
1.540000000000000000e+04,-3.489246699999999919e+02
1.560000000000000000e+04,-1.311586790000000065e+02
1.580000000000000000e+04,-2.388792579999999930e+02
1.600000000000000000e+04,-2.468702609999999993e+02
1.620000000000000000e+04,-3.521742610000000013e+02
1.640000000000000000e+04,-1.264767910000000057e+02
1.660000000000000000e+04,-2.389131720000000030e+02
1.680000000000000000e+04,-1.631415999999999977e+00
1.700000000000000000e+04,-1.260278109999999998e+02
1.720000000000000000e+04,-1.180369000000000002e+00
1.740000000000000000e+04,-3.580882270000000176e+02
1.760000000000000000e+04,-1.258989339999999970e+02
1.780000000000000000e+04,-1.236500489999999957e+02
1.800000000000000000e+04,-1.162063880000000040e+02
1.820000000000000000e+04,-2.917283909999999878e+02
1.840000000000000000e+04,-1.258616820000000018e+02
1.860000000000000000e+04,-2.574525859999999966e+02
1.880000000000000000e+04,-1.254403989999999993e+02
1.900000000000000000e+04,-3.502335620000000063e+02
1.920000000000000000e+04,-3.022885110000000282e+02
1.940000000000000000e+04,-3.475706579999999803e+02
1.960000000000000000e+04,-2.450388440000000116e+02
1.980000000000000000e+04,-3.728950249999999755e+02
2.000000000000000000e+04,-1.210454759999999936e+02
